client_id,month,active_dayz,recharge_dayz
CLI-000041,2026-06-01,11,6
CLI-000042,2026-01-01,21,14
CLI-000042,2026-02-01,15,9
CLI-000042,2026-03-01,17,14
CLI-000042,2026-04-01,16,11
CLI-000042,2026-05-01,13,10
CLI-000042,2026-06-01,19,12
CLI-000043,2026-01-01,13,7
CLI-000043,2026-02-01,13,7
CLI-000043,2026-03-01,16,12
CLI-000043,2026-04-01,15,7
CLI-000043,2026-05-01,16,9
CLI-000043,2026-06-01,13,11
CLI-000044,2026-01-01,17,14
CLI-000044,2026-02-01,14,9
CLI-000044,2026-03-01,13,9
CLI-000044,2026-04-01,15,10
CLI-000044,2026-05-01,13,8
CLI-000044,2026-06-01,15,12
CLI-000046,2026-01-01,16,10
CLI-000046,2026-02-01,16,9
CLI-000046,2026-03-01,20,14
CLI-000046,2026-04-01,16,11
CLI-000046,2026-05-01,21,14
CLI-000046,2026-06-01,17,14
CLI-000047,2026-01-01,15,10
CLI-000047,2026-02-01,14,10
CLI-000047,2026-03-01,12,6
CLI-000047,2026-04-01,14,9
CLI-000047,2026-05-01,11,6
CLI-000047,2026-06-01,17,12
CLI-000048,2026-01-01,8,4
CLI-000048,2026-02-01,8,4
CLI-000048,2026-03-01,9,6
CLI-000048,2026-04-01,8,4
CLI-000048,2026-05-01,10,8
CLI-000048,2026-06-01,9,4
CLI-000049,2026-01-01,17,14
CLI-000049,2026-02-01,14,11
CLI-000049,2026-03-01,15,11
CLI-000049,2026-04-01,17,10
CLI-000049,2026-05-01,16,14
CLI-000049,2026-06-01,15,11
CLI-000050,2026-01-01,12,6
CLI-000050,2026-02-01,8,6
CLI-000050,2026-03-01,7,5
CLI-000050,2026-04-01,7,3
CLI-000050,2026-05-01,11,8
CLI-000050,2026-06-01,10,5
CLI-000051,2026-01-01,18,9
CLI-000051,2026-02-01,21,13
CLI-000051,2026-03-01,18,11
CLI-000051,2026-04-01,19,13
CLI-000051,2026-05-01,17,14
CLI-000051,2026-06-01,20,14
CLI-000052,2026-01-01,9,7
CLI-000052,2026-02-01,13,7
CLI-000052,2026-03-01,18,11
CLI-000052,2026-04-01,15,9
CLI-000052,2026-05-01,14,9
CLI-000052,2026-06-01,17,12
CLI-000053,2026-01-01,9,4
CLI-000053,2026-02-01,11,5
CLI-000053,2026-03-01,8,4
CLI-000053,2026-04-01,8,7
CLI-000053,2026-05-01,10,7
CLI-000053,2026-06-01,12,6
CLI-000055,2026-01-01,17,10
CLI-000055,2026-02-01,16,10
CLI-000055,2026-03-01,21,14
CLI-000055,2026-04-01,19,11
CLI-000055,2026-05-01,13,8
CLI-000055,2026-06-01,19,9
CLI-000056,2026-01-01,15,8
CLI-000056,2026-02-01,18,13
CLI-000056,2026-03-01,18,14
CLI-000056,2026-04-01,19,12
CLI-000056,2026-05-01,15,8
CLI-000056,2026-06-01,16,8
CLI-000058,2026-01-01,7,6
CLI-000058,2026-02-01,10,7
CLI-000058,2026-03-01,4,2
CLI-000058,2026-04-01,10,7
CLI-000058,2026-05-01,8,4
CLI-000058,2026-06-01,8,6
CLI-000059,2026-01-01,16,8
CLI-000059,2026-02-01,15,13
CLI-000059,2026-03-01,19,14
CLI-000059,2026-04-01,15,12
CLI-000059,2026-05-01,17,12
CLI-000059,2026-06-01,14,7
CLI-000060,2026-01-01,21,14
CLI-000060,2026-02-01,16,8
CLI-000060,2026-03-01,15,7
CLI-000060,2026-04-01,16,10
CLI-000060,2026-05-01,15,13
CLI-000060,2026-06-01,17,13
CLI-000061,2026-01-01,10,7
CLI-000061,2026-02-01,17,11
CLI-000061,2026-03-01,14,9
CLI-000061,2026-04-01,17,12
CLI-000061,2026-05-01,11,6
CLI-000061,2026-06-01,12,7
CLI-000062,2026-01-01,18,9
CLI-000062,2026-02-01,20,11
CLI-000062,2026-03-01,19,12
CLI-000062,2026-04-01,21,13
CLI-000062,2026-05-01,12,7
CLI-000062,2026-06-01,10,7
CLI-000063,2026-01-01,14,9
CLI-000063,2026-02-01,11,8
CLI-000063,2026-03-01,11,8
CLI-000063,2026-04-01,5,3
CLI-000063,2026-05-01,14,10
CLI-000063,2026-06-01,15,10
CLI-000065,2026-01-01,16,9
CLI-000065,2026-02-01,14,11
CLI-000065,2026-03-01,11,7
CLI-000065,2026-04-01,19,14
CLI-000065,2026-05-01,18,13
CLI-000065,2026-06-01,20,14
CLI-000066,2026-01-01,6,4
CLI-000066,2026-02-01,3,2
CLI-000066,2026-03-01,11,8
CLI-000066,2026-04-01,8,4
CLI-000066,2026-05-01,7,6
CLI-000066,2026-06-01,6,4
CLI-000067,2026-01-01,15,13
CLI-000067,2026-02-01,12,6
CLI-000067,2026-03-01,14,7
CLI-000067,2026-04-01,12,10
CLI-000067,2026-05-01,14,7
CLI-000067,2026-06-01,13,10
CLI-000070,2026-01-01,6,4
CLI-000070,2026-02-01,9,4
CLI-000070,2026-03-01,8,6
CLI-000070,2026-04-01,9,6
CLI-000070,2026-05-01,6,5
CLI-000070,2026-06-01,10,5
CLI-000071,2026-01-01,6,3
CLI-000071,2026-02-01,12,8
CLI-000071,2026-03-01,6,3
CLI-000071,2026-04-01,6,3
CLI-000071,2026-05-01,10,8
CLI-000071,2026-06-01,10,8
CLI-000072,2026-01-01,12,6
CLI-000072,2026-02-01,7,4
CLI-000072,2026-03-01,9,5
CLI-000072,2026-04-01,15,12
CLI-000072,2026-05-01,10,8
CLI-000072,2026-06-01,12,8
CLI-000073,2026-01-01,6,4
CLI-000073,2026-02-01,8,4
CLI-000073,2026-03-01,8,5
CLI-000073,2026-04-01,10,6
CLI-000073,2026-05-01,8,6
CLI-000073,2026-06-01,8,5
CLI-000074,2026-01-01,14,9
CLI-000074,2026-02-01,9,6
CLI-000074,2026-03-01,9,7
CLI-000074,2026-04-01,9,6
CLI-000074,2026-05-01,10,7
CLI-000074,2026-06-01,14,11
CLI-000077,2026-01-01,14,9
CLI-000077,2026-02-01,16,12
CLI-000077,2026-03-01,14,11
CLI-000077,2026-04-01,13,8
CLI-000077,2026-05-01,16,9
CLI-000077,2026-06-01,11,8
CLI-000079,2026-01-01,9,5
CLI-000079,2026-02-01,5,4
CLI-000079,2026-03-01,7,5
CLI-000079,2026-04-01,7,4
CLI-000079,2026-05-01,6,4
CLI-000079,2026-06-01,10,8
CLI-000080,2026-01-01,19,10
CLI-000080,2026-02-01,20,10
CLI-000080,2026-03-01,16,8
CLI-000080,2026-04-01,20,10
CLI-000080,2026-05-01,20,14
CLI-000080,2026-06-01,20,12
CLI-000081,2026-01-01,12,9
CLI-000081,2026-02-01,8,5
CLI-000081,2026-03-01,13,11
CLI-000081,2026-04-01,10,8
CLI-000081,2026-05-01,10,5
CLI-000081,2026-06-01,14,8
CLI-000083,2026-01-01,17,13
CLI-000083,2026-02-01,18,13
CLI-000083,2026-03-01,20,14
CLI-000083,2026-04-01,18,14
CLI-000083,2026-05-01,19,14
CLI-000083,2026-06-01,21,14
CLI-000085,2026-01-01,9,7
CLI-000085,2026-02-01,13,6
CLI-000085,2026-03-01,11,5
CLI-000085,2026-04-01,11,5
CLI-000085,2026-05-01,14,11
CLI-000085,2026-06-01,11,7
CLI-000087,2026-01-01,9,7
CLI-000087,2026-02-01,10,8
CLI-000087,2026-03-01,10,6
CLI-000087,2026-04-01,10,5
CLI-000087,2026-05-01,10,6
CLI-000087,2026-06-01,8,6
CLI-000090,2026-01-01,20,14
CLI-000090,2026-02-01,18,14
CLI-000090,2026-03-01,15,9
CLI-000090,2026-04-01,19,14
CLI-000090,2026-05-01,17,11
CLI-000090,2026-06-01,17,14
CLI-000091,2026-01-01,11,6
CLI-000091,2026-02-01,14,7
CLI-000091,2026-03-01,13,8
CLI-000091,2026-04-01,10,8
CLI-000091,2026-05-01,5,3
CLI-000091,2026-06-01,10,6
CLI-000092,2026-01-01,16,11
CLI-000092,2026-02-01,21,11
CLI-000092,2026-03-01,18,14
CLI-000092,2026-04-01,21,14
CLI-000092,2026-05-01,20,14
CLI-000092,2026-06-01,21,14
CLI-000093,2026-01-01,6,4
CLI-000093,2026-02-01,6,4
CLI-000093,2026-03-01,5,3
CLI-000093,2026-04-01,7,4
CLI-000093,2026-05-01,4,2
CLI-000093,2026-06-01,3,2
CLI-000094,2026-01-01,7,6
CLI-000094,2026-02-01,11,7
CLI-000094,2026-03-01,14,9
CLI-000094,2026-04-01,12,7
CLI-000094,2026-05-01,9,5
CLI-000094,2026-06-01,11,6
CLI-000095,2026-01-01,6,4
CLI-000095,2026-02-01,6,3
CLI-000095,2026-03-01,12,6
CLI-000095,2026-04-01,9,5
CLI-000095,2026-05-01,11,9
CLI-000095,2026-06-01,6,3
CLI-000096,2026-01-01,16,10
CLI-000096,2026-02-01,13,10
CLI-000096,2026-03-01,19,13
CLI-000096,2026-04-01,15,7
CLI-000096,2026-05-01,16,13
CLI-000096,2026-06-01,13,10
CLI-000098,2026-01-01,15,7
CLI-000098,2026-02-01,14,9
CLI-000098,2026-03-01,11,9
CLI-000098,2026-04-01,10,5
CLI-000098,2026-05-01,11,5
CLI-000098,2026-06-01,9,6
CLI-000100,2026-01-01,15,11
CLI-000100,2026-02-01,16,11
CLI-000100,2026-03-01,17,14
CLI-000100,2026-04-01,14,7
CLI-000100,2026-05-01,21,14
CLI-000100,2026-06-01,17,13
CLI-000101,2026-01-01,13,9
CLI-000101,2026-02-01,10,7
CLI-000101,2026-03-01,11,6
CLI-000101,2026-04-01,16,8
CLI-000101,2026-05-01,10,5
CLI-000101,2026-06-01,11,6
CLI-000103,2026-01-01,18,13
CLI-000103,2026-02-01,16,9
CLI-000103,2026-03-01,13,11
CLI-000103,2026-04-01,17,9
CLI-000103,2026-05-01,17,11
CLI-000103,2026-06-01,15,7
CLI-000104,2026-01-01,13,11
CLI-000104,2026-02-01,10,7
CLI-000104,2026-03-01,13,6
CLI-000104,2026-04-01,13,7
CLI-000104,2026-05-01,14,11
CLI-000104,2026-06-01,10,5
CLI-000105,2026-01-01,13,9
CLI-000105,2026-02-01,13,10
CLI-000105,2026-03-01,13,9
CLI-000105,2026-04-01,12,9
CLI-000105,2026-05-01,13,6
CLI-000105,2026-06-01,14,11
CLI-000106,2026-01-01,15,9
CLI-000106,2026-02-01,18,13
CLI-000106,2026-03-01,18,12
CLI-000106,2026-04-01,19,14
CLI-000106,2026-05-01,13,9
CLI-000106,2026-06-01,13,9
CLI-000107,2026-01-01,15,11
CLI-000107,2026-02-01,17,12
CLI-000107,2026-03-01,16,12
CLI-000107,2026-04-01,15,11
CLI-000107,2026-05-01,15,13
CLI-000107,2026-06-01,14,11
CLI-000108,2026-01-01,17,9
CLI-000108,2026-02-01,18,13
CLI-000108,2026-03-01,15,9
CLI-000108,2026-04-01,19,14
CLI-000108,2026-05-01,16,9
CLI-000108,2026-06-01,20,13
CLI-000110,2026-01-01,4,2
CLI-000110,2026-02-01,7,4
CLI-000110,2026-03-01,13,7
CLI-000110,2026-04-01,10,6
CLI-000110,2026-05-01,13,9
CLI-000110,2026-06-01,11,6
CLI-000113,2026-01-01,18,14
CLI-000113,2026-02-01,15,10
CLI-000113,2026-03-01,14,9
CLI-000113,2026-04-01,18,14
CLI-000113,2026-05-01,17,10
CLI-000113,2026-06-01,16,12
CLI-000115,2026-01-01,11,8
CLI-000115,2026-02-01,9,5
CLI-000115,2026-03-01,13,8
CLI-000115,2026-04-01,6,4
CLI-000115,2026-05-01,10,5
CLI-000115,2026-06-01,12,10
CLI-000116,2026-01-01,10,5
CLI-000116,2026-02-01,14,10
CLI-000116,2026-03-01,11,8
CLI-000116,2026-04-01,17,9
CLI-000116,2026-05-01,12,7
CLI-000116,2026-06-01,16,12
CLI-000117,2026-01-01,9,6
CLI-000117,2026-02-01,7,5
CLI-000117,2026-03-01,8,6
CLI-000117,2026-04-01,8,6
CLI-000117,2026-05-01,9,5
CLI-000117,2026-06-01,8,6
CLI-000118,2026-01-01,9,5
CLI-000118,2026-02-01,9,7
CLI-000118,2026-03-01,7,4
CLI-000118,2026-04-01,10,6
CLI-000118,2026-05-01,8,5
CLI-000118,2026-06-01,10,8
CLI-000119,2026-01-01,11,7
CLI-000119,2026-02-01,11,7
CLI-000119,2026-03-01,9,7
CLI-000119,2026-04-01,7,4
CLI-000119,2026-05-01,9,7
CLI-000119,2026-06-01,10,7
CLI-000120,2026-01-01,14,11
CLI-000120,2026-02-01,18,14
CLI-000120,2026-03-01,12,7
CLI-000120,2026-04-01,19,10
CLI-000120,2026-05-01,14,9
CLI-000120,2026-06-01,16,13
CLI-000121,2026-01-01,16,11
CLI-000121,2026-02-01,20,12
CLI-000121,2026-03-01,15,12
CLI-000121,2026-04-01,19,14
CLI-000121,2026-05-01,16,10
CLI-000121,2026-06-01,16,8
CLI-000123,2026-01-01,11,6
CLI-000123,2026-02-01,14,11
CLI-000123,2026-03-01,14,9
CLI-000123,2026-04-01,11,6
CLI-000123,2026-05-01,13,8
CLI-000123,2026-06-01,12,10
CLI-000124,2026-01-01,16,13
CLI-000124,2026-02-01,16,12
CLI-000124,2026-03-01,12,6
CLI-000124,2026-04-01,16,8
CLI-000124,2026-05-01,14,12
CLI-000124,2026-06-01,13,10
CLI-000125,2026-01-01,15,11
CLI-000125,2026-02-01,15,13
CLI-000125,2026-03-01,14,8
CLI-000125,2026-04-01,16,12
CLI-000125,2026-05-01,15,12
CLI-000125,2026-06-01,16,13
CLI-000126,2026-01-01,20,14
CLI-000126,2026-02-01,20,13
CLI-000126,2026-03-01,20,13
CLI-000126,2026-04-01,16,9
CLI-000126,2026-05-01,21,13
CLI-000126,2026-06-01,17,12
CLI-000127,2026-01-01,13,9
CLI-000127,2026-02-01,8,4
CLI-000127,2026-03-01,10,5
CLI-000127,2026-04-01,10,8
CLI-000127,2026-05-01,11,5
CLI-000127,2026-06-01,7,3
CLI-000129,2026-01-01,11,5
CLI-000129,2026-02-01,12,7
CLI-000129,2026-03-01,18,10
CLI-000129,2026-04-01,13,7
CLI-000129,2026-05-01,16,9
CLI-000129,2026-06-01,19,11
CLI-000130,2026-01-01,19,14
CLI-000130,2026-02-01,19,11
CLI-000130,2026-03-01,19,14
CLI-000130,2026-04-01,18,14
CLI-000130,2026-05-01,21,14
CLI-000130,2026-06-01,20,13
CLI-000131,2026-01-01,9,5
CLI-000131,2026-02-01,11,6
CLI-000131,2026-03-01,10,6
CLI-000131,2026-04-01,11,6
CLI-000131,2026-05-01,14,11
CLI-000131,2026-06-01,15,11
CLI-000132,2026-01-01,18,9
CLI-000132,2026-02-01,12,8
CLI-000132,2026-03-01,13,9
CLI-000132,2026-04-01,14,11
CLI-000132,2026-05-01,17,8
CLI-000132,2026-06-01,21,14
CLI-000133,2026-01-01,12,9
CLI-000133,2026-02-01,9,7
CLI-000133,2026-03-01,8,7
CLI-000133,2026-04-01,8,7
CLI-000133,2026-05-01,13,10
CLI-000133,2026-06-01,11,8
CLI-000134,2026-01-01,21,13
CLI-000134,2026-02-01,18,13
CLI-000134,2026-03-01,13,9
CLI-000134,2026-04-01,18,14
CLI-000134,2026-05-01,16,10
CLI-000134,2026-06-01,19,11
CLI-000135,2026-01-01,12,7
CLI-000135,2026-02-01,21,12
CLI-000135,2026-03-01,20,14
CLI-000135,2026-04-01,17,10
CLI-000135,2026-05-01,20,13
CLI-000135,2026-06-01,21,14
CLI-000136,2026-01-01,13,7
CLI-000136,2026-02-01,14,10
CLI-000136,2026-03-01,12,8
CLI-000136,2026-04-01,11,7
CLI-000136,2026-05-01,9,4
CLI-000136,2026-06-01,9,7
CLI-000137,2026-01-01,12,7
CLI-000137,2026-02-01,11,8
CLI-000137,2026-03-01,16,11
CLI-000137,2026-04-01,13,9
CLI-000137,2026-05-01,13,9
CLI-000137,2026-06-01,11,9
CLI-000138,2026-01-01,20,10
CLI-000138,2026-02-01,18,9
CLI-000138,2026-03-01,19,14
CLI-000138,2026-04-01,16,8
CLI-000138,2026-05-01,15,12
CLI-000138,2026-06-01,20,14
CLI-000141,2026-01-01,16,10
CLI-000141,2026-02-01,18,10
CLI-000141,2026-03-01,18,12
CLI-000141,2026-04-01,15,8
CLI-000141,2026-05-01,16,8
CLI-000141,2026-06-01,17,12
CLI-000142,2026-01-01,15,7
CLI-000142,2026-02-01,16,10
CLI-000142,2026-03-01,17,11
CLI-000142,2026-04-01,14,10
CLI-000142,2026-05-01,21,14
CLI-000142,2026-06-01,17,10
CLI-000143,2026-01-01,19,13
CLI-000143,2026-02-01,20,14
CLI-000143,2026-03-01,21,13
CLI-000143,2026-04-01,21,14
CLI-000143,2026-05-01,18,14
CLI-000143,2026-06-01,16,9
CLI-000144,2026-01-01,19,11
CLI-000144,2026-02-01,11,6
CLI-000144,2026-03-01,14,10
CLI-000144,2026-04-01,18,12
CLI-000144,2026-05-01,20,14
CLI-000144,2026-06-01,13,9
CLI-000145,2026-01-01,12,10
CLI-000145,2026-02-01,8,4
CLI-000145,2026-03-01,7,4
CLI-000145,2026-04-01,8,6
CLI-000145,2026-05-01,10,8
CLI-000145,2026-06-01,10,6
CLI-000148,2026-01-01,12,7
CLI-000148,2026-02-01,14,11
CLI-000148,2026-03-01,8,5
CLI-000148,2026-04-01,12,10
CLI-000148,2026-05-01,12,8
CLI-000148,2026-06-01,10,8
CLI-000150,2026-01-01,17,9
CLI-000150,2026-02-01,18,10
CLI-000150,2026-03-01,19,10
CLI-000150,2026-04-01,19,14
CLI-000150,2026-05-01,12,8
CLI-000150,2026-06-01,13,8
CLI-000151,2026-01-01,19,14
CLI-000151,2026-02-01,19,10
CLI-000151,2026-03-01,21,14
CLI-000151,2026-04-01,16,11
CLI-000151,2026-05-01,21,13
CLI-000151,2026-06-01,19,13
CLI-000152,2026-01-01,15,8
CLI-000152,2026-02-01,17,14
CLI-000152,2026-03-01,13,10
CLI-000152,2026-04-01,16,8
CLI-000152,2026-05-01,16,8
CLI-000152,2026-06-01,16,14
CLI-000153,2026-01-01,20,14
CLI-000153,2026-02-01,18,13
CLI-000153,2026-03-01,21,14
CLI-000153,2026-04-01,21,13
CLI-000153,2026-05-01,16,8
CLI-000153,2026-06-01,17,14
CLI-000154,2026-01-01,11,7
CLI-000154,2026-02-01,11,5
CLI-000154,2026-03-01,9,7
CLI-000154,2026-04-01,11,8
CLI-000154,2026-05-01,10,5
CLI-000154,2026-06-01,9,7
CLI-000155,2026-01-01,21,14
CLI-000155,2026-02-01,15,11
CLI-000155,2026-03-01,16,11
CLI-000155,2026-04-01,21,14
CLI-000155,2026-05-01,21,12
CLI-000155,2026-06-01,20,13
CLI-000156,2026-01-01,13,11
CLI-000156,2026-02-01,13,6
CLI-000156,2026-03-01,8,6
CLI-000156,2026-04-01,8,5
CLI-000156,2026-05-01,11,5
CLI-000156,2026-06-01,7,4
CLI-000157,2026-01-01,10,6
CLI-000157,2026-02-01,14,12
CLI-000157,2026-03-01,15,9
CLI-000157,2026-04-01,14,10
CLI-000157,2026-05-01,12,6
CLI-000157,2026-06-01,12,7
CLI-000159,2026-01-01,13,9
CLI-000159,2026-02-01,21,11
CLI-000159,2026-03-01,21,11
CLI-000159,2026-04-01,14,9
CLI-000159,2026-05-01,20,13
CLI-000159,2026-06-01,18,10
CLI-000161,2026-01-01,19,14
CLI-000161,2026-02-01,15,10
CLI-000161,2026-03-01,13,6
CLI-000161,2026-04-01,15,8
CLI-000161,2026-05-01,15,7
CLI-000161,2026-06-01,18,10
CLI-000162,2026-01-01,14,11
CLI-000162,2026-02-01,10,5
CLI-000162,2026-03-01,15,12
CLI-000162,2026-04-01,12,9
CLI-000162,2026-05-01,16,9
CLI-000162,2026-06-01,16,8
CLI-000163,2026-01-01,12,9
CLI-000163,2026-02-01,11,5
CLI-000163,2026-03-01,10,7
CLI-000163,2026-04-01,12,10
CLI-000163,2026-05-01,12,6
CLI-000163,2026-06-01,20,10
CLI-000164,2026-01-01,14,12
CLI-000164,2026-02-01,8,5
CLI-000164,2026-03-01,14,7
CLI-000164,2026-04-01,11,9
CLI-000164,2026-05-01,14,8
CLI-000164,2026-06-01,9,6
CLI-000166,2026-01-01,13,10
CLI-000166,2026-02-01,14,8
CLI-000166,2026-03-01,14,8
CLI-000166,2026-04-01,15,11
CLI-000166,2026-05-01,8,4
CLI-000166,2026-06-01,7,5
CLI-000167,2026-01-01,17,13
CLI-000167,2026-02-01,21,14
CLI-000167,2026-03-01,15,11
CLI-000167,2026-04-01,17,10
CLI-000167,2026-05-01,19,14
CLI-000167,2026-06-01,15,11
CLI-000169,2026-01-01,16,14
CLI-000169,2026-02-01,16,12
CLI-000169,2026-03-01,13,8
CLI-000169,2026-04-01,20,10
CLI-000169,2026-05-01,11,6
CLI-000169,2026-06-01,12,10
CLI-000170,2026-01-01,9,4
