lead_id,advisor_id,market,territory,product_interest,stage,created_date,last_update
LEAD-000029,ADV-032,South Africa,KwaZulu-Natal,Funeral,Closed Lost,2024-10-29,2024-11-09
LEAD-000030,ADV-079,Lesotho,Maseru,Funeral,Contacted,2026-03-21,2026-03-28
LEAD-000031,ADV-137,Lesotho,Maseru,Funeral,New,2024-10-01,2024-11-02
LEAD-000032,ADV-158,Botswana,Gaborone,Life,Contacted,2024-12-02,2025-01-02
LEAD-000033,ADV-109,South Africa,Gauteng,Life,Proposal,2025-08-13,2025-08-24
LEAD-000034,ADV-104,Botswana,Francistown,Funeral,Meeting,2026-02-07,2026-02-21
LEAD-000035,ADV-044,Namibia,Swakopmund,Life,New,2025-08-28,2025-09-02
LEAD-000036,ADV-095,South Africa,Western Cape,Health,New,2025-09-29,2025-10-31
LEAD-000037,ADV-046,Lesotho,Berea,Life,Contacted,2025-04-18,2025-05-01
LEAD-000038,ADV-088,South Africa,Eastern Cape,Funeral,Contacted,2025-09-19,2025-10-30
LEAD-000039,ADV-065,Botswana,Gaborone,Investment,Meeting,2024-11-05,2024-12-09
LEAD-000040,ADV-042,South Africa,Eastern Cape,Funeral,Closed Won,2026-03-14,2026-04-16
LEAD-000041,ADV-086,South Africa,KwaZulu-Natal,Funeral,New,2026-03-20,2026-04-01
LEAD-000042,ADV-093,Botswana,Francistown,Life,New,2025-03-22,2025-04-04
LEAD-000043,ADV-153,South Africa,KwaZulu-Natal,Life,New,2025-10-24,2025-11-17
LEAD-000044,ADV-093,Botswana,Francistown,Life,Meeting,2026-06-05,2026-06-20
LEAD-000045,ADV-148,South Africa,Western Cape,Health,New,2025-05-05,2025-05-25
LEAD-000046,ADV-114,South Africa,KwaZulu-Natal,Funeral,Proposal,2025-02-16,2025-02-21
LEAD-000047,ADV-029,Botswana,Gaborone,Life,Meeting,2025-04-13,2025-04-13
LEAD-000048,ADV-008,South Africa,Gauteng,Funeral,Contacted,2024-07-26,2024-08-27
LEAD-000049,ADV-004,South Africa,Eastern Cape,Funeral,Contacted,2026-01-25,2026-02-19
LEAD-000050,ADV-084,Lesotho,Berea,Funeral,New,2025-08-05,2025-09-16
LEAD-000051,ADV-129,Lesotho,Maseru,Funeral,Proposal,2025-02-19,2025-04-02
LEAD-000052,ADV-057,Lesotho,Berea,Life,Closed Lost,2025-07-22,2025-08-20
LEAD-000053,ADV-042,South Africa,Eastern Cape,Funeral,Closed Won,2024-07-05,2024-07-25
LEAD-000054,ADV-083,Namibia,Windhoek,Investment,Contacted,2025-10-24,2025-12-03
LEAD-000055,ADV-007,Lesotho,Maseru,Funeral,New,2026-04-28,2026-06-06
LEAD-000056,ADV-145,South Africa,Western Cape,Health,Proposal,2025-09-14,2025-10-10
LEAD-000057,ADV-130,Lesotho,Maseru,Funeral,Contacted,2026-01-07,2026-01-27
LEAD-000058,ADV-013,South Africa,Eastern Cape,Investment,Closed Lost,2024-08-30,2024-09-03
LEAD-000059,ADV-156,South Africa,Western Cape,Funeral,Contacted,2025-02-06,2025-03-18
LEAD-000060,ADV-095,South Africa,Western Cape,Funeral,Contacted,2026-02-15,2026-03-07
LEAD-000061,ADV-116,South Africa,Eastern Cape,Health,Proposal,2026-03-29,2026-05-06
LEAD-000062,ADV-075,South Africa,Gauteng,Funeral,Contacted,2026-03-23,2026-04-02
LEAD-000063,ADV-041,Namibia,Swakopmund,Life,New,2025-01-28,2025-02-25
LEAD-000064,ADV-047,Lesotho,Maseru,Health,Proposal,2025-06-30,2025-07-24
LEAD-000065,ADV-059,South Africa,Eastern Cape,Life,Closed Lost,2025-04-28,2025-04-28
LEAD-000066,ADV-044,Namibia,Swakopmund,Health,Proposal,2026-05-13,2026-06-06
LEAD-000067,ADV-095,South Africa,Western Cape,Life,Contacted,2024-06-28,2024-06-29
LEAD-000068,ADV-049,Namibia,Swakopmund,Life,Contacted,2025-08-23,2025-08-30
LEAD-000069,ADV-123,Namibia,Windhoek,Life,Meeting,2024-09-25,2024-10-06
LEAD-000070,ADV-080,South Africa,Western Cape,Funeral,Closed Won,2026-06-19,2026-06-20
LEAD-000071,ADV-149,Botswana,Francistown,Funeral,Closed Lost,2025-09-02,2025-09-08
LEAD-000072,ADV-095,South Africa,Western Cape,Funeral,Proposal,2025-04-22,2025-05-10
LEAD-000073,ADV-051,Botswana,Gaborone,Funeral,Proposal,2026-05-15,2026-05-31
LEAD-000074,ADV-027,South Africa,Eastern Cape,Investment,Meeting,2025-09-07,2025-09-28
LEAD-000075,ADV-119,South Africa,Eastern Cape,Investment,Proposal,2026-02-19,2026-03-03
LEAD-000076,ADV-087,South Africa,Gauteng,Investment,Contacted,2026-03-14,2026-04-03
LEAD-000077,ADV-134,South Africa,Western Cape,Life,Closed Won,2024-11-29,2024-12-19
LEAD-000078,ADV-131,South Africa,Eastern Cape,Funeral,Contacted,2026-04-29,2026-05-07
LEAD-000079,ADV-077,South Africa,Gauteng,Health,Contacted,2025-07-06,2025-08-04
LEAD-000080,ADV-127,South Africa,Eastern Cape,Funeral,Contacted,2024-10-05,2024-10-29
LEAD-000081,ADV-027,South Africa,Eastern Cape,Life,Contacted,2024-10-04,2024-10-29
LEAD-000082,ADV-123,Namibia,Windhoek,Life,Meeting,2024-11-10,2024-12-14
LEAD-000083,ADV-144,South Africa,KwaZulu-Natal,Life,New,2025-07-03,2025-08-13
LEAD-000084,ADV-023,Lesotho,Berea,Life,Contacted,2024-08-24,2024-09-16
LEAD-000085,ADV-140,Namibia,Swakopmund,Funeral,Proposal,2026-06-19,2026-06-20
LEAD-000086,ADV-153,South Africa,KwaZulu-Natal,Health,Meeting,2025-05-25,2025-06-23
LEAD-000087,ADV-005,South Africa,Gauteng,Life,New,2024-09-18,2024-09-26
LEAD-000088,ADV-004,South Africa,Eastern Cape,Life,Closed Lost,2024-08-22,2024-09-15
LEAD-000089,ADV-094,South Africa,Eastern Cape,Funeral,Closed Won,2025-11-10,2025-12-09
LEAD-000090,ADV-100,Lesotho,Maseru,Investment,Closed Won,2025-12-12,2026-01-25
LEAD-000091,ADV-029,Botswana,Gaborone,Investment,New,2025-07-21,2025-08-11
LEAD-000092,ADV-123,Namibia,Windhoek,Funeral,Closed Lost,2025-05-06,2025-05-17
LEAD-000093,ADV-122,Namibia,Swakopmund,Life,Contacted,2025-01-07,2025-01-19
LEAD-000094,ADV-076,South Africa,Western Cape,Life,Proposal,2025-01-28,2025-02-06
LEAD-000095,ADV-004,South Africa,Eastern Cape,Health,Contacted,2024-10-23,2024-10-24
LEAD-000096,ADV-019,South Africa,Western Cape,Investment,Contacted,2024-11-01,2024-11-06
LEAD-000097,ADV-061,Lesotho,Berea,Investment,New,2025-02-10,2025-02-10
LEAD-000098,ADV-122,Namibia,Swakopmund,Funeral,New,2025-12-11,2026-01-15
LEAD-000099,ADV-013,South Africa,Eastern Cape,Investment,Contacted,2026-02-08,2026-02-11
LEAD-000100,ADV-086,South Africa,KwaZulu-Natal,Health,Proposal,2025-04-26,2025-05-04
LEAD-000101,ADV-050,South Africa,Western Cape,Life,Proposal,2024-09-20,2024-10-04
LEAD-000102,ADV-084,Lesotho,Berea,Funeral,Closed Lost,2025-01-31,2025-03-06
LEAD-000103,ADV-062,Lesotho,Berea,Life,Contacted,2025-10-17,2025-10-19
LEAD-000104,ADV-012,Lesotho,Maseru,Funeral,Proposal,2024-07-06,2024-08-02
LEAD-000105,ADV-089,South Africa,Western Cape,Life,Meeting,2024-10-22,2024-10-31
LEAD-000106,ADV-123,Namibia,Windhoek,Funeral,Proposal,2024-11-27,2024-11-29
LEAD-000107,ADV-079,Lesotho,Maseru,Life,Proposal,2024-10-11,2024-10-28
LEAD-000108,ADV-044,Namibia,Swakopmund,Funeral,Closed Lost,2025-12-31,2025-12-31
LEAD-000109,ADV-124,Namibia,Windhoek,Funeral,Closed Lost,2026-04-30,2026-06-12
LEAD-000110,ADV-152,South Africa,Gauteng,Funeral,New,2024-09-24,2024-10-22
LEAD-000111,ADV-139,South Africa,Gauteng,Life,Closed Won,2025-06-27,2025-07-09
LEAD-000112,ADV-018,Lesotho,Berea,Health,New,2025-11-04,2025-11-11
LEAD-000113,ADV-113,Botswana,Francistown,Funeral,New,2026-01-21,2026-02-24
LEAD-000114,ADV-013,South Africa,Eastern Cape,Health,Contacted,2024-08-09,2024-09-04
LEAD-000115,ADV-110,South Africa,KwaZulu-Natal,Health,Meeting,2026-04-21,2026-05-24
LEAD-000116,ADV-039,South Africa,Gauteng,Life,Proposal,2024-11-25,2024-11-28
LEAD-000117,ADV-088,South Africa,Eastern Cape,Funeral,Proposal,2025-06-08,2025-06-30
LEAD-000118,ADV-086,South Africa,KwaZulu-Natal,Funeral,New,2025-05-01,2025-05-15
LEAD-000119,ADV-158,Botswana,Gaborone,Funeral,Contacted,2026-02-02,2026-02-05
LEAD-000120,ADV-086,South Africa,KwaZulu-Natal,Life,Closed Lost,2024-10-25,2024-11-02
LEAD-000121,ADV-156,South Africa,Western Cape,Funeral,Closed Lost,2025-03-20,2025-03-22
LEAD-000122,ADV-068,Lesotho,Berea,Health,Meeting,2024-10-30,2024-11-10
LEAD-000123,ADV-027,South Africa,Eastern Cape,Health,Meeting,2024-07-22,2024-08-18
LEAD-000124,ADV-141,South Africa,Western Cape,Funeral,Meeting,2025-11-26,2025-12-19
LEAD-000125,ADV-029,Botswana,Gaborone,Funeral,Proposal,2025-03-26,2025-04-23
LEAD-000126,ADV-109,South Africa,Gauteng,Funeral,New,2025-01-27,2025-02-14
LEAD-000127,ADV-021,Namibia,Swakopmund,Health,Meeting,2025-06-05,2025-06-21
LEAD-000128,ADV-007,Lesotho,Maseru,Life,Proposal,2025-08-20,2025-09-14
LEAD-000129,ADV-101,South Africa,KwaZulu-Natal,Health,Closed Lost,2025-01-22,2025-02-01
LEAD-000130,ADV-082,South Africa,Eastern Cape,Life,Closed Won,2025-07-10,2025-08-08
LEAD-000131,ADV-135,Botswana,Gaborone,Life,Closed Won,2025-09-19,2025-09-20
LEAD-000132,ADV-156,South Africa,Western Cape,Funeral,Closed Won,2025-02-14,2025-03-20
LEAD-000133,ADV-045,South Africa,KwaZulu-Natal,Funeral,Proposal,2025-07-18,2025-08-14
LEAD-000134,ADV-131,South Africa,Eastern Cape,Funeral,Contacted,2024-12-27,2025-01-30
LEAD-000135,ADV-155,Lesotho,Berea,Life,Meeting,2026-04-15,2026-05-17
LEAD-000136,ADV-091,Botswana,Francistown,Funeral,Meeting,2025-08-27,2025-09-07
LEAD-000137,ADV-077,South Africa,Gauteng,Funeral,Proposal,2024-11-18,2024-12-21
LEAD-000138,ADV-063,Namibia,Windhoek,Health,Meeting,2025-08-13,2025-09-16
LEAD-000139,ADV-063,Namibia,Windhoek,Life,Proposal,2026-01-21,2026-02-19
LEAD-000140,ADV-017,Lesotho,Berea,Life,Contacted,2024-09-05,2024-10-05
LEAD-000141,ADV-023,Lesotho,Berea,Health,Closed Won,2025-05-30,2025-07-09
LEAD-000142,ADV-006,South Africa,Gauteng,Life,New,2025-10-09,2025-10-12
LEAD-000143,ADV-143,South Africa,Gauteng,Funeral,Closed Won,2025-08-04,2025-08-23
LEAD-000144,ADV-045,South Africa,KwaZulu-Natal,Health,Meeting,2025-11-17,2025-11-26
LEAD-000145,ADV-035,South Africa,Gauteng,Funeral,Contacted,2025-04-21,2025-04-23
LEAD-000146,ADV-117,Botswana,Francistown,Funeral,New,2025-02-25,2025-03-07
LEAD-000147,ADV-044,Namibia,Swakopmund,Funeral,Contacted,2025-07-30,2025-09-07
LEAD-000148,ADV-088,South Africa,Eastern Cape,Funeral,New,2025-01-13,2025-02-17
LEAD-000149,ADV-134,South Africa,Western Cape,Health,Closed Lost,2024-09-03,2024-10-01
LEAD-000150,ADV-151,South Africa,Gauteng,Health,Meeting,2024-12-31,2025-01-18
LEAD-000151,ADV-127,South Africa,Eastern Cape,Health,Proposal,2024-11-15,2024-12-07
LEAD-000152,ADV-044,Namibia,Swakopmund,Health,Proposal,2025-10-18,2025-10-27
LEAD-000153,ADV-123,Namibia,Windhoek,Funeral,New,2024-12-12,2025-01-22
LEAD-000154,ADV-011,South Africa,Western Cape,Life,Closed Won,2024-07-23,2024-08-10
LEAD-000155,ADV-033,Namibia,Windhoek,Life,Contacted,2024-10-25,2024-11-01
LEAD-000156,ADV-129,Lesotho,Maseru,Health,Contacted,2025-06-08,2025-07-06
LEAD-000157,ADV-159,South Africa,Gauteng,Life,New,2024-11-01,2024-11-06
LEAD-000158,ADV-103,Lesotho,Berea,Funeral,Contacted,2025-09-02,2025-09-30
LEAD-000159,ADV-123,Namibia,Windhoek,Health,Meeting,2024-09-09,2024-09-20
LEAD-000160,ADV-073,South Africa,KwaZulu-Natal,Investment,Closed Won,2024-11-21,2024-12-07
LEAD-000161,ADV-028,Namibia,Swakopmund,Health,Contacted,2026-03-27,2026-05-08
LEAD-000162,ADV-025,South Africa,Gauteng,Life,Proposal,2025-02-02,2025-02-12
LEAD-000163,ADV-141,South Africa,Western Cape,Life,Meeting,2024-10-07,2024-10-23
LEAD-000164,ADV-088,South Africa,Eastern Cape,Investment,Proposal,2024-11-28,2024-12-18
LEAD-000165,ADV-085,Namibia,Swakopmund,Life,Proposal,2025-06-26,2025-07-30
LEAD-000166,ADV-032,South Africa,KwaZulu-Natal,Life,Meeting,2024-11-13,2024-11-14
LEAD-000167,ADV-098,South Africa,Gauteng,Funeral,New,2024-12-13,2025-01-10
LEAD-000168,ADV-139,South Africa,Gauteng,Funeral,Closed Lost,2026-04-21,2026-05-08
LEAD-000169,ADV-153,South Africa,KwaZulu-Natal,Life,New,2025-02-01,2025-02-03
LEAD-000170,ADV-017,Lesotho,Berea,Funeral,Contacted,2024-10-14,2024-10-18
LEAD-000171,ADV-158,Botswana,Gaborone,Life,New,2026-02-22,2026-03-14
LEAD-000172,ADV-015,Botswana,Francistown,Life,Meeting,2026-03-12,2026-03-25
LEAD-000173,ADV-072,South Africa,KwaZulu-Natal,Funeral,Meeting,2025-05-24,2025-05-25
LEAD-000174,ADV-136,South Africa,Eastern Cape,Funeral,Meeting,2025-06-28,2025-07-19
LEAD-000175,ADV-017,Lesotho,Berea,Health,Closed Lost,2025-04-23,2025-05-19
LEAD-000176,ADV-119,South Africa,Eastern Cape,Investment,Contacted,2025-12-25,2026-01-03
LEAD-000177,ADV-030,Botswana,Francistown,Investment,Meeting,2025-08-30,2025-08-30
LEAD-000178,ADV-157,South Africa,Eastern Cape,Funeral,Proposal,2026-02-14,2026-02-14
LEAD-000179,ADV-096,South Africa,Gauteng,Funeral,Contacted,2026-01-14,2026-02-13
LEAD-000180,ADV-054,South Africa,Western Cape,Life,Contacted,2025-11-29,2026-01-08
LEAD-000181,ADV-091,Botswana,Francistown,Funeral,Proposal,2025-12-30,2026-01-26
LEAD-000182,ADV-083,Namibia,Windhoek,Health,Closed Won,2024-10-14,2024-10-19
LEAD-000183,ADV-030,Botswana,Francistown,Investment,Meeting,2024-12-09,2025-01-18
LEAD-000184,ADV-003,South Africa,Gauteng,Funeral,Closed Won,2026-05-06,2026-05-13
LEAD-000185,ADV-004,South Africa,Eastern Cape,Life,Contacted,2024-11-06,2024-12-15
LEAD-000186,ADV-036,South Africa,KwaZulu-Natal,Health,Closed Won,2024-08-09,2024-08-21
LEAD-000187,ADV-137,Lesotho,Maseru,Life,Proposal,2025-05-06,2025-05-07
LEAD-000188,ADV-108,Lesotho,Berea,Funeral,Meeting,2025-09-02,2025-10-03
LEAD-000189,ADV-081,Namibia,Windhoek,Funeral,Contacted,2025-02-06,2025-03-11
LEAD-000190,ADV-112,South Africa,Gauteng,Life,Proposal,2026-01-27,2026-03-04
LEAD-000191,ADV-107,Lesotho,Maseru,Funeral,New,2025-04-14,2025-05-24
LEAD-000192,ADV-059,South Africa,Eastern Cape,Life,Proposal,2025-09-06,2025-09-16
LEAD-000193,ADV-031,Botswana,Francistown,Funeral,Closed Won,2024-06-23,2024-07-28
LEAD-000194,ADV-142,South Africa,Western Cape,Life,Closed Won,2025-10-21,2025-11-28
LEAD-000195,ADV-053,South Africa,Western Cape,Funeral,Proposal,2024-09-27,2024-11-02
LEAD-000196,ADV-071,Botswana,Gaborone,Health,New,2025-11-02,2025-11-08
LEAD-000197,ADV-001,South Africa,KwaZulu-Natal,Life,Proposal,2024-11-22,2024-11-22
LEAD-000198,ADV-009,Lesotho,Maseru,Funeral,Contacted,2025-04-01,2025-05-14
LEAD-000199,ADV-153,South Africa,KwaZulu-Natal,Investment,Contacted,2024-12-18,2025-01-19
LEAD-000200,ADV-046,Lesotho,Berea,Funeral,Contacted,2025-06-10,2025-07-04
LEAD-000201,ADV-111,South Africa,Gauteng,Funeral,Meeting,2024-11-04,2024-11-24
LEAD-000202,ADV-091,Botswana,Francistown,Funeral,Closed Won,2024-08-31,2024-09-10
LEAD-000203,ADV-077,South Africa,Gauteng,Life,Closed Won,2026-05-25,2026-06-01
LEAD-000204,ADV-027,South Africa,Eastern Cape,Funeral,Meeting,2025-05-26,2025-06-12
LEAD-000205,ADV-121,South Africa,Gauteng,Funeral,Closed Lost,2025-04-22,2025-04-27
LEAD-000206,ADV-150,Namibia,Windhoek,Life,New,2024-11-24,2024-12-13
LEAD-000207,ADV-083,Namibia,Windhoek,Investment,Closed Won,2025-11-16,2025-12-13
LEAD-000208,ADV-078,South Africa,Western Cape,Life,New,2024-07-29,2024-08-06
LEAD-000209,ADV-023,Lesotho,Berea,Health,Proposal,2025-11-15,2025-12-23
LEAD-000210,ADV-106,South Africa,KwaZulu-Natal,Funeral,Meeting,2024-10-09,2024-10-10
LEAD-000211,ADV-152,South Africa,Gauteng,Funeral,Closed Won,2025-02-01,2025-03-09
LEAD-000212,ADV-027,South Africa,Eastern Cape,Funeral,Contacted,2024-11-09,2024-12-03
LEAD-000213,ADV-085,Namibia,Swakopmund,Funeral,Closed Won,2026-03-15,2026-04-01
LEAD-000214,ADV-033,Namibia,Windhoek,Health,Contacted,2025-10-03,2025-10-09
LEAD-000215,ADV-138,South Africa,Eastern Cape,Funeral,Proposal,2025-07-16,2025-07-16
LEAD-000216,ADV-077,South Africa,Gauteng,Investment,Closed Won,2024-10-18,2024-11-04
LEAD-000217,ADV-015,Botswana,Francistown,Investment,Closed Won,2025-03-06,2025-03-13
LEAD-000218,ADV-138,South Africa,Eastern Cape,Life,Proposal,2025-04-20,2025-05-01
LEAD-000219,ADV-108,Lesotho,Berea,Health,Contacted,2025-12-28,2026-01-10
LEAD-000220,ADV-038,South Africa,Eastern Cape,Investment,Contacted,2025-10-22,2025-10-25
LEAD-000221,ADV-133,South Africa,Gauteng,Funeral,Contacted,2025-02-13,2025-03-11
LEAD-000222,ADV-149,Botswana,Francistown,Life,Contacted,2024-07-13,2024-07-24
LEAD-000223,ADV-005,South Africa,Gauteng,Funeral,Closed Lost,2025-10-02,2025-10-16
LEAD-000224,ADV-080,South Africa,Western Cape,Funeral,Meeting,2026-01-27,2026-03-12
LEAD-000225,ADV-122,Namibia,Swakopmund,Funeral,Contacted,2024-06-28,2024-08-02
LEAD-000226,ADV-037,South Africa,Eastern Cape,Funeral,Closed Won,2025-10-07,2025-11-06
LEAD-000227,ADV-051,Botswana,Gaborone,Health,Contacted,2024-08-16,2024-09-10
LEAD-000228,ADV-087,South Africa,Gauteng,Health,New,2026-05-06,2026-06-13
LEAD-000229,ADV-157,South Africa,Eastern Cape,Funeral,Meeting,2025-11-19,2025-12-17
LEAD-000230,ADV-133,South Africa,Gauteng,Health,Meeting,2025-05-03,2025-05-25
LEAD-000231,ADV-149,Botswana,Francistown,Funeral,Closed Lost,2025-01-27,2025-01-28
LEAD-000232,ADV-027,South Africa,Eastern Cape,Health,Meeting,2024-08-23,2024-08-25
LEAD-000233,ADV-100,Lesotho,Maseru,Funeral,New,2025-09-09,2025-10-03
LEAD-000234,ADV-020,South Africa,Eastern Cape,Funeral,Proposal,2025-01-11,2025-02-13
LEAD-000235,ADV-123,Namibia,Windhoek,Investment,Proposal,2025-06-01,2025-06-27
LEAD-000236,ADV-059,South Africa,Eastern Cape,Life,Contacted,2025-03-17,2025-03-23
LEAD-000237,ADV-135,Botswana,Gaborone,Life,Meeting,2025-10-25,2025-10-30
LEAD-000238,ADV-124,Namibia,Windhoek,Health,New,2026-04-08,2026-05-11
LEAD-000239,ADV-088,South Africa,Eastern Cape,Funeral,Meeting,2024-12-22,2025-01-25
LEAD-000240,ADV-009,Lesotho,Maseru,Health,Proposal,2025-12-22,2025-12-23
LEAD-000241,ADV-104,Botswana,Francistown,Investment,Closed Lost,2025-10-30,2025-11-26
LEAD-000242,ADV-018,Lesotho,Berea,Life,Contacted,2025-10-09,2025-11-10
LEAD-000243,ADV-108,Lesotho,Berea,Funeral,Closed Lost,2025-08-21,2025-08-26
LEAD-000244,ADV-114,South Africa,KwaZulu-Natal,Life,Meeting,2025-03-07,2025-04-11
LEAD-000245,ADV-012,Lesotho,Maseru,Life,Meeting,2025-07-28,2025-09-01
LEAD-000246,ADV-121,South Africa,Gauteng,Funeral,Meeting,2025-10-27,2025-11-27
LEAD-000247,ADV-109,South Africa,Gauteng,Life,New,2025-01-11,2025-02-14
LEAD-000248,ADV-092,Botswana,Gaborone,Life,Contacted,2024-12-21,2025-01-13
LEAD-000249,ADV-049,Namibia,Swakopmund,Life,Contacted,2025-08-10,2025-09-17
LEAD-000250,ADV-027,South Africa,Eastern Cape,Funeral,Proposal,2025-06-08,2025-07-14
LEAD-000251,ADV-107,Lesotho,Maseru,Funeral,New,2025-01-01,2025-01-24
LEAD-000252,ADV-009,Lesotho,Maseru,Funeral,New,2025-04-08,2025-05-02
LEAD-000253,ADV-125,Lesotho,Berea,Funeral,New,2025-01-02,2025-01-05
LEAD-000254,ADV-061,Lesotho,Berea,Investment,Closed Lost,2025-08-27,2025-09-02
LEAD-000255,ADV-003,South Africa,Gauteng,Life,New,2026-05-14,2026-05-17
LEAD-000256,ADV-140,Namibia,Swakopmund,Funeral,Closed Won,2026-01-12,2026-02-22
LEAD-000257,ADV-042,South Africa,Eastern Cape,Funeral,Meeting,2024-11-04,2024-12-18
LEAD-000258,ADV-085,Namibia,Swakopmund,Health,Closed Won,2026-05-26,2026-05-27
LEAD-000259,ADV-010,South Africa,Gauteng,Investment,Contacted,2025-06-13,2025-06-16
LEAD-000260,ADV-038,South Africa,Eastern Cape,Life,Closed Lost,2025-10-30,2025-11-08
LEAD-000261,ADV-148,South Africa,Western Cape,Health,Closed Won,2025-05-06,2025-05-08
LEAD-000262,ADV-154,South Africa,Gauteng,Funeral,Contacted,2026-01-13,2026-01-15
LEAD-000263,ADV-159,South Africa,Gauteng,Health,Closed Lost,2025-04-26,2025-04-26
LEAD-000264,ADV-084,Lesotho,Berea,Health,New,2026-01-25,2026-02-10
LEAD-000265,ADV-154,South Africa,Gauteng,Health,Meeting,2024-11-30,2024-12-04
LEAD-000266,ADV-026,South Africa,Eastern Cape,Life,Contacted,2025-01-28,2025-02-18
LEAD-000267,ADV-126,South Africa,Western Cape,Investment,Meeting,2026-04-27,2026-06-04
LEAD-000268,ADV-053,South Africa,Western Cape,Health,Contacted,2026-05-11,2026-05-15
LEAD-000269,ADV-098,South Africa,Gauteng,Health,Closed Won,2025-07-10,2025-07-10
LEAD-000270,ADV-006,South Africa,Gauteng,Funeral,Meeting,2026-02-19,2026-03-17
LEAD-000271,ADV-125,Lesotho,Berea,Funeral,Proposal,2024-11-22,2025-01-01
LEAD-000272,ADV-036,South Africa,KwaZulu-Natal,Investment,Closed Lost,2026-03-17,2026-04-26
LEAD-000273,ADV-132,Botswana,Francistown,Funeral,Proposal,2024-06-29,2024-07-27
LEAD-000274,ADV-015,Botswana,Francistown,Life,New,2026-04-02,2026-04-13
LEAD-000275,ADV-140,Namibia,Swakopmund,Life,Contacted,2025-05-26,2025-06-30
LEAD-000276,ADV-087,South Africa,Gauteng,Investment,Closed Won,2024-12-04,2024-12-22
LEAD-000277,ADV-077,South Africa,Gauteng,Life,Meeting,2025-04-08,2025-05-18
LEAD-000278,ADV-040,South Africa,Eastern Cape,Life,Closed Won,2024-10-25,2024-12-04
LEAD-000279,ADV-085,Namibia,Swakopmund,Life,Meeting,2024-08-06,2024-08-09
LEAD-000280,ADV-037,South Africa,Eastern Cape,Life,New,2025-06-18,2025-06-26
LEAD-000281,ADV-029,Botswana,Gaborone,Life,Contacted,2025-08-21,2025-09-21
LEAD-000282,ADV-154,South Africa,Gauteng,Funeral,Contacted,2025-05-07,2025-06-18
LEAD-000283,ADV-103,Lesotho,Berea,Life,Closed Won,2025-02-07,2025-03-04
LEAD-000284,ADV-144,South Africa,KwaZulu-Natal,Funeral,Contacted,2025-01-28,2025-02-26
LEAD-000285,ADV-039,South Africa,Gauteng,Funeral,New,2024-12-28,2025-02-08
LEAD-000286,ADV-048,South Africa,KwaZulu-Natal,Life,Contacted,2024-07-16,2024-07-23
LEAD-000287,ADV-066,Botswana,Gaborone,Health,Meeting,2024-08-25,2024-10-08
LEAD-000288,ADV-057,Lesotho,Berea,Life,Contacted,2025-03-19,2025-04-08
