policy_id,market,product_type,channel,advisor_id,issue_date,premium
POL-000251,South Africa,Life,Bancassurance,ADV-105,2026-06-11,135.04
POL-000252,South Africa,Life,Bancassurance,ADV-061,2024-12-04,209.39
POL-000253,South Africa,Health,Tied Advisor,ADV-034,2026-05-25,219.19
POL-000254,South Africa,Funeral,Independent Broker,ADV-005,2026-05-02,226.1
POL-000255,Namibia,Funeral,Tied Advisor,ADV-007,2025-09-13,118.95
POL-000259,South Africa,Funeral,Independent Broker,ADV-136,2025-10-26,144.14
POL-000260,Namibia,Life,Independent Broker,ADV-073,2025-10-09,133.31
POL-000262,South Africa,Life,Direct Digital,ADV-028,2025-02-13,245.63
POL-000265,South Africa,Life,Tied Advisor,ADV-121,2024-09-26,247.08
POL-000271,Lesotho,Investment,Tied Advisor,ADV-054,2025-03-25,65.66
POL-000275,South Africa,Health,Independent Broker,ADV-036,2026-06-08,64.35
POL-000276,South Africa,Funeral,Tied Advisor,ADV-031,2026-04-06,80.48
POL-000277,South Africa,Life,Bancassurance,ADV-005,2026-01-23,59.69
POL-000280,Lesotho,Life,Bancassurance,ADV-017,2025-03-21,202.08
POL-000281,South Africa,Funeral,Tied Advisor,ADV-047,2026-04-02,530.42
POL-000283,Namibia,Health,Direct Digital,ADV-154,2025-12-10,76.33
POL-000284,Lesotho,Funeral,Tied Advisor,ADV-138,2024-07-20,1128.26
POL-000286,Namibia,Health,Independent Broker,ADV-085,2025-10-16,158.07
POL-000293,South Africa,Funeral,Tied Advisor,ADV-038,2024-10-02,1374.4
POL-000296,South Africa,Life,Tied Advisor,ADV-143,2025-07-19,60.46
POL-000298,South Africa,Funeral,Bancassurance,ADV-103,2024-12-01,229.67
POL-000300,Botswana,Life,Independent Broker,ADV-039,2025-03-28,62.15
POL-000304,South Africa,Life,Direct Digital,ADV-135,2025-08-18,275.14
POL-000305,Botswana,Life,Tied Advisor,ADV-074,2025-01-27,225.51
POL-000306,Botswana,Funeral,Tied Advisor,ADV-089,2024-07-15,59.96
POL-000307,South Africa,Funeral,Direct Digital,ADV-014,2024-07-03,125.48
POL-000310,Lesotho,Investment,Independent Broker,ADV-078,2025-10-12,236.01
POL-000313,South Africa,Life,Independent Broker,ADV-114,2025-08-30,80.26
POL-000315,South Africa,Life,Direct Digital,ADV-135,2024-11-28,124.29
POL-000316,South Africa,Investment,Independent Broker,ADV-148,2025-08-20,67.6
POL-000317,South Africa,Life,Tied Advisor,ADV-103,2025-03-11,81.75
POL-000319,South Africa,Funeral,Bancassurance,ADV-118,2025-12-12,125.6
POL-000321,Botswana,Investment,Tied Advisor,ADV-148,2025-09-22,258.12
POL-000324,Botswana,Health,Direct Digital,ADV-160,2025-11-13,71.89
POL-000336,Botswana,Health,Tied Advisor,ADV-058,2025-11-27,422.21
POL-000337,South Africa,Health,Direct Digital,ADV-043,2025-05-22,66.26
POL-000338,South Africa,Funeral,Tied Advisor,ADV-006,2025-04-23,542.06
POL-000340,South Africa,Life,Independent Broker,ADV-006,2025-11-22,253.26
POL-000342,South Africa,Life,Direct Digital,ADV-031,2025-01-24,527.68
POL-000343,South Africa,Health,Bancassurance,ADV-004,2025-03-22,65.55
POL-000345,South Africa,Health,Bancassurance,ADV-141,2024-07-17,65.96
POL-000349,South Africa,Health,Bancassurance,ADV-027,2024-10-17,70.32
POL-000351,South Africa,Life,Tied Advisor,ADV-003,2025-01-09,198.51
POL-000352,Botswana,Life,Independent Broker,ADV-121,2024-09-06,1094.51
POL-000353,Botswana,Funeral,Independent Broker,ADV-021,2025-10-14,452.95
POL-000356,Namibia,Life,Tied Advisor,ADV-118,2025-01-11,547.58
POL-000362,Namibia,Health,Direct Digital,ADV-085,2026-05-11,125.81
POL-000374,Lesotho,Health,Bancassurance,ADV-147,2026-05-14,401.25
POL-000375,South Africa,Life,Tied Advisor,ADV-016,2026-01-08,133.33
POL-000376,Lesotho,Funeral,Bancassurance,ADV-076,2025-10-25,252.03
POL-000378,Botswana,Funeral,Tied Advisor,ADV-135,2025-01-15,275.42
POL-000380,South Africa,Funeral,Independent Broker,ADV-099,2025-01-25,63.62
POL-000381,South Africa,Life,Independent Broker,ADV-092,2025-06-15,515.3
POL-000384,South Africa,Funeral,Tied Advisor,ADV-093,2026-02-08,206.92
POL-000389,South Africa,Life,Bancassurance,ADV-080,2024-11-15,2122.38
POL-000390,Namibia,Funeral,Tied Advisor,ADV-046,2026-03-21,254.07
POL-000396,South Africa,Health,Tied Advisor,ADV-146,2025-02-21,67.7
POL-000403,South Africa,Life,Tied Advisor,ADV-132,2025-02-13,147.61
POL-000409,Botswana,Life,Tied Advisor,ADV-082,2025-03-24,115.62
POL-000411,South Africa,Life,Independent Broker,ADV-095,2025-11-15,61.74
POL-000419,Namibia,Funeral,Tied Advisor,ADV-140,2025-10-08,60.92
POL-000425,South Africa,Life,Independent Broker,ADV-139,2025-04-18,196.66
POL-000426,South Africa,Life,Tied Advisor,ADV-035,2025-07-30,123.29
POL-000434,South Africa,Life,Independent Broker,ADV-098,2024-07-01,491.95
POL-000435,Lesotho,Health,Independent Broker,ADV-135,2025-07-24,484.09
POL-000438,Botswana,Funeral,Tied Advisor,ADV-094,2024-10-25,165.68
POL-000439,Lesotho,Life,Bancassurance,ADV-002,2024-08-25,2191.23
POL-000440,South Africa,Health,Tied Advisor,ADV-106,2024-12-01,261.27
POL-000446,Botswana,Health,Independent Broker,ADV-030,2026-04-22,265.75
POL-000449,Lesotho,Investment,Independent Broker,ADV-082,2025-03-20,81.8
POL-000455,South Africa,Investment,Independent Broker,ADV-083,2024-10-27,252.72
POL-000456,South Africa,Life,Independent Broker,ADV-121,2025-05-12,70.55
POL-000459,South Africa,Health,Tied Advisor,ADV-012,2025-12-25,268.95
POL-000464,South Africa,Life,Tied Advisor,ADV-150,2026-01-19,277.73
POL-000465,South Africa,Health,Tied Advisor,ADV-136,2026-04-08,165.45
POL-000468,South Africa,Life,Independent Broker,ADV-090,2024-06-21,59.7
POL-000472,South Africa,Funeral,Independent Broker,ADV-026,2024-07-31,161.12
POL-000473,South Africa,Funeral,Independent Broker,ADV-010,2026-06-01,125.2
POL-000475,Lesotho,Funeral,Direct Digital,ADV-012,2025-05-31,266.58
POL-000477,South Africa,Funeral,Tied Advisor,ADV-045,2024-10-28,80.46
POL-000478,South Africa,Investment,Tied Advisor,ADV-037,2026-04-21,398.83
POL-000479,Botswana,Investment,Tied Advisor,ADV-018,2025-07-12,1278.68
POL-000480,Namibia,Investment,Tied Advisor,ADV-075,2024-11-16,2750.9
POL-000481,Namibia,Life,Direct Digital,ADV-028,2025-08-08,60.39
POL-000483,South Africa,Health,Bancassurance,ADV-158,2025-06-12,1124.34
POL-000484,South Africa,Health,Independent Broker,ADV-118,2026-06-15,406.27
POL-000485,South Africa,Investment,Direct Digital,ADV-019,2026-05-01,77.97
POL-000488,South Africa,Investment,Tied Advisor,ADV-139,2024-11-23,498.83
POL-000490,South Africa,Funeral,Tied Advisor,ADV-073,2024-11-13,248.71
POL-000492,Namibia,Funeral,Tied Advisor,ADV-094,2025-09-18,143.24
POL-000493,Botswana,Life,Bancassurance,ADV-034,2024-07-14,421.32
POL-000496,South Africa,Funeral,Tied Advisor,ADV-027,2024-12-11,408.2
POL-000498,South Africa,Life,Bancassurance,ADV-142,2024-08-05,57.95
POL-000501,South Africa,Life,Direct Digital,ADV-123,2025-03-31,399.08
POL-000502,Lesotho,Health,Tied Advisor,ADV-160,2026-01-17,140.76
POL-000505,South Africa,Funeral,Tied Advisor,ADV-135,2024-12-30,67.52
POL-000507,Botswana,Health,Bancassurance,ADV-006,2025-11-27,137.17
POL-000508,Lesotho,Investment,Tied Advisor,ADV-003,2024-08-14,256.75
POL-000509,Botswana,Investment,Bancassurance,ADV-014,2026-02-03,60.17
POL-000512,South Africa,Life,Tied Advisor,ADV-022,2025-08-13,58.7
POL-000517,South Africa,Funeral,Tied Advisor,ADV-094,2025-12-17,200.62
POL-000518,South Africa,Funeral,Independent Broker,ADV-071,2024-11-16,70.38
POL-000520,South Africa,Health,Tied Advisor,ADV-037,2025-11-22,72.64
POL-000522,Botswana,Funeral,Independent Broker,ADV-121,2024-11-30,226.76
POL-000528,South Africa,Health,Bancassurance,ADV-026,2025-03-20,116.3
POL-000529,Lesotho,Health,Independent Broker,ADV-023,2025-10-10,215.04
POL-000530,South Africa,Health,Tied Advisor,ADV-074,2026-01-02,69.12
POL-000532,Namibia,Life,Bancassurance,ADV-018,2024-08-20,465.5
POL-000535,Lesotho,Life,Independent Broker,ADV-069,2025-06-16,116.99
POL-000539,Namibia,Health,Tied Advisor,ADV-082,2024-10-17,69.33
POL-000546,Namibia,Funeral,Direct Digital,ADV-152,2024-07-21,69.1
POL-000551,South Africa,Funeral,Tied Advisor,ADV-068,2025-09-09,469.3
POL-000552,South Africa,Health,Direct Digital,ADV-149,2025-12-06,246.06
POL-000556,South Africa,Funeral,Independent Broker,ADV-050,2024-12-20,70.81
POL-000558,South Africa,Funeral,Independent Broker,ADV-130,2025-05-29,72.13
POL-000560,South Africa,Funeral,Bancassurance,ADV-023,2025-09-01,125.94
POL-000562,South Africa,Funeral,Independent Broker,ADV-025,2025-08-30,271.01
POL-000563,South Africa,Health,Direct Digital,ADV-103,2026-03-09,273.71
POL-000564,South Africa,Funeral,Bancassurance,ADV-117,2025-06-09,82.33
POL-000565,Namibia,Life,Tied Advisor,ADV-037,2026-05-22,227.53
POL-000567,Lesotho,Investment,Independent Broker,ADV-016,2024-09-03,64.11
POL-000568,South Africa,Health,Tied Advisor,ADV-009,2024-08-02,68.61
POL-000570,South Africa,Health,Independent Broker,ADV-061,2025-10-03,166.24
POL-000571,South Africa,Health,Bancassurance,ADV-125,2024-12-28,163.99
POL-000574,South Africa,Life,Tied Advisor,ADV-076,2024-10-26,240.11
POL-000575,Namibia,Life,Tied Advisor,ADV-069,2026-05-17,536.73
POL-000577,South Africa,Funeral,Bancassurance,ADV-082,2026-01-25,70.6
POL-000579,South Africa,Life,Independent Broker,ADV-073,2025-05-30,142.51
POL-000582,Lesotho,Funeral,Tied Advisor,ADV-008,2024-10-07,1072.11
POL-000585,Namibia,Health,Tied Advisor,ADV-144,2024-07-30,446.92
POL-000590,South Africa,Funeral,Tied Advisor,ADV-036,2024-12-21,152.77
POL-000592,Botswana,Life,Independent Broker,ADV-159,2026-01-03,243.02
POL-000593,South Africa,Investment,Tied Advisor,ADV-105,2025-01-17,117.76
POL-000598,Lesotho,Funeral,Tied Advisor,ADV-036,2024-12-29,132.53
POL-000603,South Africa,Investment,Bancassurance,ADV-124,2024-10-26,239.38
POL-000604,Lesotho,Investment,Bancassurance,ADV-098,2024-09-22,213.57
POL-000606,South Africa,Funeral,Independent Broker,ADV-122,2025-10-20,68.03
POL-000611,South Africa,Investment,Tied Advisor,ADV-006,2024-12-11,251.97
POL-000614,Namibia,Funeral,Tied Advisor,ADV-135,2026-03-13,116.87
POL-000616,Namibia,Funeral,Direct Digital,ADV-145,2025-06-22,59.28
POL-000619,South Africa,Life,Tied Advisor,ADV-037,2025-04-13,119.58
POL-000620,South Africa,Funeral,Tied Advisor,ADV-061,2026-06-05,244.71
POL-000621,Lesotho,Life,Direct Digital,ADV-129,2024-06-25,62.38
POL-000624,Lesotho,Life,Bancassurance,ADV-134,2025-03-09,1958.79
POL-000626,South Africa,Investment,Tied Advisor,ADV-146,2025-04-25,63.52
POL-000627,South Africa,Funeral,Tied Advisor,ADV-116,2026-05-27,59.16
POL-000628,South Africa,Life,Independent Broker,ADV-112,2025-08-15,411.87
POL-000630,Namibia,Funeral,Tied Advisor,ADV-024,2024-11-21,391.39
POL-000631,South Africa,Health,Bancassurance,ADV-158,2024-08-04,158.65
POL-000637,South Africa,Life,Bancassurance,ADV-049,2025-12-13,61.48
POL-000638,South Africa,Investment,Tied Advisor,ADV-080,2025-10-04,235.03
POL-000639,South Africa,Funeral,Tied Advisor,ADV-122,2025-02-07,215.02
POL-000647,Namibia,Funeral,Tied Advisor,ADV-092,2025-03-18,62.17
POL-000649,Namibia,Life,Independent Broker,ADV-158,2025-05-05,519.39
POL-000651,Lesotho,Funeral,Tied Advisor,ADV-120,2025-12-07,535.93
POL-000658,Lesotho,Health,Independent Broker,ADV-109,2026-03-20,58.95
POL-000660,South Africa,Investment,Tied Advisor,ADV-051,2024-06-26,77.58
POL-000662,Namibia,Life,Tied Advisor,ADV-120,2024-09-06,196.16
POL-000664,South Africa,Health,Independent Broker,ADV-157,2026-01-16,449.15
POL-000665,Lesotho,Funeral,Tied Advisor,ADV-034,2025-06-11,71.32
POL-000667,South Africa,Life,Tied Advisor,ADV-159,2025-05-17,269.78
POL-000668,Botswana,Health,Bancassurance,ADV-005,2024-07-17,275.85
POL-000669,South Africa,Life,Tied Advisor,ADV-054,2026-06-10,224.09
POL-000671,Botswana,Health,Tied Advisor,ADV-051,2025-09-21,471.32
POL-000675,South Africa,Funeral,Independent Broker,ADV-032,2025-08-01,81.76
POL-000676,South Africa,Life,Direct Digital,ADV-141,2025-11-20,136.65
POL-000682,South Africa,Health,Tied Advisor,ADV-041,2025-08-10,79.45
POL-000683,South Africa,Life,Tied Advisor,ADV-036,2025-03-22,532.35
POL-000686,Namibia,Funeral,Tied Advisor,ADV-104,2024-08-30,77.69
POL-000688,South Africa,Life,Bancassurance,ADV-082,2024-12-19,475.66
POL-000689,Namibia,Health,Independent Broker,ADV-144,2025-03-15,1248.06
POL-000693,South Africa,Health,Tied Advisor,ADV-073,2025-01-19,147.84
POL-000696,Namibia,Health,Tied Advisor,ADV-129,2025-03-29,79.05
POL-000697,South Africa,Funeral,Tied Advisor,ADV-108,2026-02-26,65.35
POL-000698,South Africa,Funeral,Tied Advisor,ADV-143,2025-11-25,246.86
POL-000700,South Africa,Life,Tied Advisor,ADV-125,2025-07-17,62.13
POL-000706,South Africa,Funeral,Independent Broker,ADV-094,2024-07-20,70.44
POL-000708,Namibia,Investment,Bancassurance,ADV-111,2025-01-06,425.63
POL-000709,South Africa,Funeral,Direct Digital,ADV-139,2025-07-01,73.26
POL-000711,South Africa,Health,Independent Broker,ADV-100,2025-08-03,148.48
POL-000717,South Africa,Health,Tied Advisor,ADV-014,2025-08-31,412.66
POL-000718,South Africa,Life,Direct Digital,ADV-120,2024-11-14,132.0
POL-000720,South Africa,Funeral,Tied Advisor,ADV-059,2026-03-08,59.95
POL-000729,South Africa,Health,Direct Digital,ADV-013,2026-04-12,436.31
POL-000733,South Africa,Health,Direct Digital,ADV-144,2025-03-07,980.86
POL-000736,Lesotho,Life,Tied Advisor,ADV-107,2025-01-21,246.09
POL-000737,South Africa,Investment,Bancassurance,ADV-057,2024-06-22,60.42
POL-000738,South Africa,Life,Bancassurance,ADV-158,2024-09-04,66.79
POL-000739,South Africa,Life,Direct Digital,ADV-012,2024-10-06,71.95
POL-000740,Lesotho,Funeral,Independent Broker,ADV-092,2024-08-24,131.65
POL-000743,South Africa,Health,Bancassurance,ADV-082,2025-04-20,120.06
POL-000747,South Africa,Life,Bancassurance,ADV-155,2025-08-14,253.94
POL-000754,Botswana,Funeral,Independent Broker,ADV-102,2026-05-06,67.45
POL-000756,Namibia,Investment,Bancassurance,ADV-151,2026-04-27,1055.05
POL-000758,South Africa,Life,Direct Digital,ADV-097,2025-04-21,436.06
POL-000760,South Africa,Health,Tied Advisor,ADV-140,2024-07-08,122.8
POL-000761,Lesotho,Life,Bancassurance,ADV-054,2025-03-23,73.69
POL-000762,Lesotho,Life,Bancassurance,ADV-058,2024-10-23,116.45
POL-000763,South Africa,Funeral,Independent Broker,ADV-110,2026-02-26,165.74
POL-000764,Namibia,Funeral,Tied Advisor,ADV-010,2024-06-20,61.9
POL-000766,South Africa,Life,Tied Advisor,ADV-061,2024-09-13,195.85
POL-000769,Namibia,Life,Independent Broker,ADV-124,2025-12-29,74.94
POL-000770,South Africa,Life,Direct Digital,ADV-134,2026-05-08,205.16
POL-000771,Namibia,Investment,Tied Advisor,ADV-024,2026-02-14,242.0
POL-000772,Namibia,Health,Direct Digital,ADV-102,2025-04-01,231.72
POL-000778,Botswana,Funeral,Bancassurance,ADV-160,2025-05-31,2633.23
POL-000780,Botswana,Life,Tied Advisor,ADV-023,2026-01-08,58.66
POL-000797,Namibia,Funeral,Tied Advisor,ADV-154,2024-10-10,1131.36
POL-000798,South Africa,Funeral,Tied Advisor,ADV-056,2025-05-14,1013.22
POL-000803,Botswana,Life,Tied Advisor,ADV-156,2024-10-13,473.96
POL-000805,South Africa,Investment,Tied Advisor,ADV-137,2026-03-28,143.32
POL-000806,Lesotho,Life,Bancassurance,ADV-008,2025-06-12,140.23
POL-000807,Namibia,Funeral,Independent Broker,ADV-092,2026-01-01,237.53
POL-000811,South Africa,Funeral,Tied Advisor,ADV-094,2026-03-13,115.6
POL-000813,South Africa,Health,Tied Advisor,ADV-157,2026-04-08,234.85
POL-000815,South Africa,Investment,Direct Digital,ADV-149,2024-07-15,133.13
POL-000816,South Africa,Funeral,Independent Broker,ADV-015,2026-02-11,1197.15
POL-000819,South Africa,Life,Tied Advisor,ADV-150,2025-07-03,485.42
POL-000821,South Africa,Life,Independent Broker,ADV-033,2024-09-28,67.33
POL-000823,Namibia,Health,Tied Advisor,ADV-128,2024-10-29,62.45
POL-000826,South Africa,Life,Tied Advisor,ADV-065,2025-02-24,64.03
POL-000828,Namibia,Funeral,Tied Advisor,ADV-042,2024-11-23,64.15
POL-000830,South Africa,Funeral,Direct Digital,ADV-062,2025-09-29,77.41
POL-000833,South Africa,Funeral,Bancassurance,ADV-111,2025-11-10,70.67
POL-000835,South Africa,Funeral,Tied Advisor,ADV-033,2026-03-06,150.19
POL-000836,Botswana,Funeral,Tied Advisor,ADV-106,2026-04-18,120.52
POL-000840,South Africa,Life,Bancassurance,ADV-153,2025-08-21,1348.75
POL-000842,South Africa,Funeral,Tied Advisor,ADV-032,2024-07-10,238.45
POL-000843,Namibia,Life,Bancassurance,ADV-018,2025-06-27,127.19
POL-000846,South Africa,Funeral,Direct Digital,ADV-018,2026-04-03,64.22
POL-000847,Botswana,Funeral,Tied Advisor,ADV-098,2026-05-28,157.37
POL-000850,South Africa,Health,Tied Advisor,ADV-042,2024-09-03,527.58
POL-000857,Lesotho,Funeral,Independent Broker,ADV-005,2024-11-26,430.76
POL-000860,Botswana,Life,Tied Advisor,ADV-020,2026-05-30,207.46
POL-000863,South Africa,Investment,Bancassurance,ADV-096,2025-02-21,261.29
POL-000865,Namibia,Funeral,Bancassurance,ADV-112,2025-01-18,130.9
POL-000867,South Africa,Health,Direct Digital,ADV-120,2025-01-09,222.91
POL-000868,Botswana,Investment,Independent Broker,ADV-098,2024-11-17,67.93
POL-000873,South Africa,Investment,Independent Broker,ADV-160,2024-07-19,149.07
POL-000874,Lesotho,Funeral,Independent Broker,ADV-052,2024-12-16,989.52
POL-000875,Lesotho,Funeral,Independent Broker,ADV-043,2026-01-13,149.0
POL-000876,Botswana,Life,Independent Broker,ADV-021,2025-04-15,71.44
POL-000878,Botswana,Life,Tied Advisor,ADV-030,2026-04-18,62.65
POL-000880,Botswana,Life,Bancassurance,ADV-035,2025-10-14,126.19
POL-000883,Botswana,Health,Tied Advisor,ADV-033,2025-01-29,1018.9
POL-000884,South Africa,Funeral,Tied Advisor,ADV-044,2025-02-06,400.07
POL-000887,South Africa,Life,Bancassurance,ADV-036,2025-04-03,2393.37
POL-000893,Namibia,Life,Bancassurance,ADV-133,2026-03-21,115.45
POL-000895,South Africa,Health,Tied Advisor,ADV-037,2025-10-21,71.33
POL-000898,South Africa,Funeral,Independent Broker,ADV-068,2024-09-03,205.72
POL-000900,South Africa,Health,Tied Advisor,ADV-134,2026-03-28,2533.47
POL-000901,Botswana,Funeral,Tied Advisor,ADV-098,2026-02-15,201.11
POL-000907,South Africa,Funeral,Bancassurance,ADV-124,2025-07-04,65.97
POL-000910,Botswana,Life,Direct Digital,ADV-070,2026-05-27,413.59
POL-000922,South Africa,Life,Tied Advisor,ADV-149,2026-06-02,419.78
POL-000924,South Africa,Investment,Independent Broker,ADV-040,2024-12-26,486.74
POL-000928,Botswana,Funeral,Tied Advisor,ADV-092,2024-11-18,134.18
POL-000929,Namibia,Funeral,Independent Broker,ADV-005,2025-10-06,552.86
POL-000930,Lesotho,Life,Tied Advisor,ADV-011,2025-10-29,407.17
POL-000931,South Africa,Funeral,Bancassurance,ADV-073,2025-06-07,125.08
POL-000934,South Africa,Health,Independent Broker,ADV-082,2025-01-19,153.68
POL-000935,Botswana,Funeral,Bancassurance,ADV-053,2025-02-14,975.72
POL-000936,South Africa,Health,Tied Advisor,ADV-099,2024-07-15,121.13
POL-000938,South Africa,Life,Tied Advisor,ADV-032,2025-02-18,460.2
POL-000942,Botswana,Life,Tied Advisor,ADV-030,2025-02-17,466.34
POL-000943,Botswana,Funeral,Direct Digital,ADV-090,2026-02-22,470.09
POL-000944,Botswana,Funeral,Tied Advisor,ADV-025,2025-05-28,240.22
POL-000946,South Africa,Funeral,Tied Advisor,ADV-026,2024-11-25,236.01
POL-000947,Botswana,Health,Tied Advisor,ADV-130,2024-11-03,131.61
POL-000949,South Africa,Life,Independent Broker,ADV-096,2025-08-13,261.3
POL-000951,South Africa,Health,Bancassurance,ADV-066,2025-03-20,67.53
POL-000952,Lesotho,Investment,Tied Advisor,ADV-006,2025-02-27,144.11
POL-000953,Botswana,Funeral,Tied Advisor,ADV-145,2026-04-10,989.58
POL-000954,South Africa,Life,Bancassurance,ADV-117,2024-09-14,230.51
POL-000956,South Africa,Funeral,Tied Advisor,ADV-012,2026-05-21,152.05
POL-000959,South Africa,Life,Tied Advisor,ADV-003,2025-10-21,120.32
POL-000961,Botswana,Life,Tied Advisor,ADV-151,2024-10-11,2347.35
POL-000962,South Africa,Life,Direct Digital,ADV-133,2025-04-25,1244.55
