claim_id,fraud_risk_score,layer1a_verdict,layer1b_verdict,final_tier,flagged_date
CLM-000134,21.8,Amber,Clear,Green,2025-10-01
CLM-000135,37.4,Amber,Clear,Amber,2026-01-20
CLM-000136,12.4,Green,Clear,Green,2024-12-18
CLM-000137,33.9,Green,Clear,Amber,2025-12-06
CLM-000138,56.2,Amber,Clear,Amber,2025-12-28
CLM-000139,53.7,Amber,Clear,Amber,2026-06-12
CLM-000140,4.1,Green,Confirmed,Green,2026-06-14
CLM-000141,39.6,Amber,Clear,Amber,2025-09-03
CLM-000142,35.6,Amber,Clear,Amber,2025-12-12
CLM-000143,39.9,Amber,Clear,Amber,2025-07-22
CLM-000144,38.7,Amber,Clear,Amber,2026-04-05
CLM-000145,53.5,Amber,Clear,Amber,2025-08-21
CLM-000146,39.8,Amber,Clear,Amber,2025-09-30
CLM-000147,7.2,Green,Clear,Green,2026-06-20
CLM-000148,25.6,Amber,Clear,Green,2025-03-02
CLM-000149,43.7,Amber,Clear,Amber,2024-10-27
CLM-000150,32.9,Amber,Clear,Amber,2025-08-29
CLM-000151,22.9,Green,Clear,Green,2025-06-27
CLM-000152,36.0,Amber,Suspected,Amber,2024-08-09
CLM-000153,20.9,Green,Clear,Green,2025-04-03
CLM-000154,17.0,Green,Clear,Green,2025-09-23
CLM-000155,23.0,Green,Clear,Green,2025-06-17
CLM-000156,41.7,Amber,Clear,Amber,2025-05-16
CLM-000157,8.6,Green,Clear,Green,2026-04-19
CLM-000158,97.5,Red,Clear,Red,2025-03-08
CLM-000159,72.8,Amber,Confirmed,Red,2025-10-01
CLM-000160,42.2,Amber,Clear,Amber,2025-09-01
CLM-000161,40.2,Amber,Clear,Amber,2026-01-03
CLM-000162,39.2,Amber,Clear,Amber,2025-01-31
CLM-000163,28.8,Green,Clear,Green,2025-09-13
CLM-000164,16.6,Green,Clear,Green,2026-03-22
CLM-000165,52.6,Amber,Clear,Amber,2026-06-18
CLM-000166,24.0,Green,Clear,Green,2024-11-09
CLM-000167,44.7,Amber,Clear,Amber,2025-04-15
CLM-000168,31.7,Amber,Clear,Amber,2024-08-27
CLM-000169,30.8,Green,Clear,Amber,2026-03-31
CLM-000170,44.8,Amber,Confirmed,Amber,2025-11-04
CLM-000171,23.7,Green,Suspected,Green,2026-06-15
CLM-000172,4.0,Green,Clear,Green,2025-09-12
CLM-000173,38.1,Amber,Clear,Amber,2025-12-27
CLM-000174,22.2,Green,Clear,Green,2025-11-22
CLM-000175,20.9,Green,Clear,Green,2024-10-18
CLM-000176,18.6,Green,Clear,Green,2024-09-13
CLM-000177,9.0,Green,Clear,Green,2026-05-20
CLM-000178,25.3,Green,Suspected,Green,2025-04-14
CLM-000179,37.1,Green,Clear,Amber,2025-11-01
CLM-000180,22.0,Green,Clear,Green,2026-01-31
CLM-000181,100.0,Red,Clear,Red,2025-02-27
CLM-000182,52.2,Amber,Clear,Amber,2025-02-10
CLM-000183,40.9,Amber,Clear,Amber,2026-01-09
CLM-000184,14.5,Green,Clear,Green,2025-03-02
CLM-000185,6.1,Green,Clear,Green,2025-03-03
CLM-000186,7.1,Green,Clear,Green,2025-08-06
CLM-000187,14.3,Green,Clear,Green,2025-01-08
CLM-000188,44.3,Amber,Clear,Amber,2026-03-07
CLM-000189,100.0,Red,Clear,Red,2025-03-20
CLM-000190,1.0,Green,Clear,Green,2026-03-30
CLM-000191,29.2,Amber,Clear,Green,2025-08-04
CLM-000192,36.4,Amber,Clear,Amber,2025-03-08
CLM-000193,47.8,Amber,Clear,Amber,2024-08-01
CLM-000194,3.1,Green,Clear,Green,2025-09-27
CLM-000195,30.5,Amber,Clear,Amber,2025-03-23
CLM-000196,31.2,Green,Clear,Amber,2025-06-07
CLM-000197,43.2,Amber,Clear,Amber,2025-12-01
CLM-000198,16.3,Green,Suspected,Green,2025-11-05
CLM-000199,16.2,Green,Confirmed,Green,2026-03-29
CLM-000200,38.2,Amber,Clear,Amber,2024-09-11
CLM-000201,100.0,Red,Clear,Red,2025-02-09
CLM-000202,32.2,Amber,Clear,Amber,2024-09-15
CLM-000203,36.0,Amber,Clear,Amber,2025-12-26
CLM-000204,5.0,Green,Clear,Green,2024-07-10
CLM-000205,32.1,Green,Clear,Amber,2025-01-13
CLM-000206,16.1,Green,Clear,Green,2025-02-14
CLM-000207,9.9,Green,Clear,Green,2026-06-03
CLM-000208,15.2,Green,Clear,Green,2025-08-18
CLM-000209,36.4,Amber,Clear,Amber,2025-02-05
CLM-000210,3.9,Green,Clear,Green,2026-02-10
CLM-000211,1.0,Green,Clear,Green,2025-07-06
CLM-000212,20.9,Green,Clear,Green,2025-09-26
CLM-000213,19.7,Green,Clear,Green,2024-11-23
CLM-000214,73.5,Red,Clear,Red,2025-01-19
CLM-000215,15.9,Green,Clear,Green,2026-06-05
CLM-000216,100.0,Red,Clear,Red,2024-10-04
CLM-000217,37.6,Amber,Clear,Amber,2026-06-20
CLM-000218,18.2,Green,Clear,Green,2024-08-12
CLM-000219,29.0,Green,Clear,Green,2026-06-08
CLM-000220,15.4,Green,Suspected,Green,2026-03-05
CLM-000221,23.6,Green,Clear,Green,2025-02-06
CLM-000222,81.7,Red,Clear,Red,2025-12-03
CLM-000223,35.5,Amber,Clear,Amber,2026-01-06
CLM-000224,59.4,Amber,Clear,Amber,2026-01-06
CLM-000225,26.7,Green,Clear,Green,2025-09-05
CLM-000226,21.0,Green,Clear,Green,2025-04-07
CLM-000227,32.9,Amber,Suspected,Amber,2024-09-08
CLM-000228,41.0,Amber,Clear,Amber,2025-04-16
CLM-000229,14.2,Green,Clear,Green,2024-11-27
CLM-000230,42.0,Amber,Clear,Amber,2026-05-30
CLM-000231,15.3,Green,Clear,Green,2025-11-08
CLM-000232,35.5,Green,Clear,Amber,2025-03-17
CLM-000233,14.7,Green,Clear,Green,2026-01-27
CLM-000234,12.8,Green,Clear,Green,2024-12-26
CLM-000235,49.8,Amber,Clear,Amber,2024-10-26
CLM-000236,57.7,Amber,Clear,Amber,2025-09-20
CLM-000237,41.5,Amber,Clear,Amber,2024-08-09
CLM-000238,25.1,Green,Clear,Green,2025-08-26
CLM-000239,1.0,Green,Clear,Green,2024-11-13
CLM-000240,53.8,Amber,Clear,Amber,2026-05-26
CLM-000241,35.0,Amber,Clear,Amber,2026-04-15
CLM-000242,16.7,Green,Suspected,Green,2025-03-27
CLM-000243,89.8,Red,Clear,Red,2026-06-10
CLM-000244,38.8,Amber,Clear,Amber,2025-06-20
CLM-000245,22.2,Green,Clear,Green,2025-11-06
CLM-000246,4.3,Green,Clear,Green,2026-05-13
CLM-000247,43.7,Amber,Clear,Amber,2026-04-03
CLM-000248,22.5,Green,Clear,Green,2025-03-17
CLM-000249,17.8,Green,Clear,Green,2025-11-14
CLM-000250,19.8,Green,Clear,Green,2025-04-10
CLM-000251,29.1,Green,Clear,Green,2025-01-06
CLM-000252,27.9,Green,Clear,Green,2025-06-11
CLM-000253,46.7,Amber,Clear,Amber,2025-05-09
CLM-000254,27.7,Amber,Clear,Green,2026-01-17
CLM-000255,51.2,Amber,Clear,Amber,2025-07-01
CLM-000256,30.2,Amber,Clear,Amber,2025-05-31
CLM-000257,43.1,Amber,Clear,Amber,2025-07-27
CLM-000258,1.0,Green,Clear,Green,2024-09-15
CLM-000259,12.8,Green,Clear,Green,2025-06-24
CLM-000260,16.4,Green,Clear,Green,2026-01-29
CLM-000261,45.0,Amber,Clear,Amber,2025-07-06
CLM-000262,39.9,Amber,Clear,Amber,2026-03-26
CLM-000263,57.8,Amber,Suspected,Amber,2024-08-02
CLM-000264,44.8,Amber,Clear,Amber,2025-06-30
CLM-000265,35.5,Amber,Suspected,Amber,2026-05-18
CLM-000266,31.8,Amber,Clear,Amber,2025-09-25
CLM-000267,50.0,Amber,Clear,Amber,2025-09-12
CLM-000268,2.1,Green,Clear,Green,2024-10-28
CLM-000269,38.0,Amber,Clear,Amber,2026-03-20
CLM-000270,32.3,Amber,Clear,Amber,2025-05-07
CLM-000271,25.9,Amber,Clear,Green,2026-03-02
CLM-000272,20.8,Green,Clear,Green,2025-04-08
CLM-000273,53.6,Amber,Clear,Amber,2026-01-16
CLM-000274,55.8,Amber,Clear,Amber,2026-04-09
CLM-000275,41.9,Amber,Clear,Amber,2025-02-28
CLM-000276,14.7,Green,Clear,Green,2024-12-05
CLM-000277,42.6,Amber,Clear,Amber,2026-04-07
CLM-000278,42.5,Amber,Suspected,Amber,2026-03-20
CLM-000279,38.7,Amber,Clear,Amber,2025-06-01
CLM-000280,32.5,Amber,Clear,Amber,2025-05-30
CLM-000281,32.5,Amber,Clear,Amber,2025-11-18
CLM-000282,29.7,Green,Clear,Green,2025-11-05
CLM-000283,33.1,Amber,Suspected,Amber,2025-06-16
CLM-000284,33.8,Green,Clear,Amber,2025-03-29
CLM-000285,42.5,Amber,Clear,Amber,2025-07-03
CLM-000286,30.2,Amber,Clear,Amber,2026-03-29
CLM-000287,32.6,Amber,Clear,Amber,2025-06-11
CLM-000288,15.9,Green,Clear,Green,2025-04-21
CLM-000289,55.3,Amber,Clear,Amber,2026-02-02
CLM-000290,11.9,Green,Clear,Green,2026-05-03
CLM-000291,18.7,Green,Clear,Green,2026-05-18
CLM-000292,66.4,Red,Clear,Amber,2026-02-19
CLM-000293,24.8,Green,Clear,Green,2025-02-10
CLM-000294,97.8,Red,Clear,Red,2025-08-25
CLM-000295,17.5,Green,Clear,Green,2024-11-05
CLM-000296,23.5,Amber,Clear,Green,2025-09-15
CLM-000297,28.4,Green,Clear,Green,2025-02-17
CLM-000298,30.4,Amber,Clear,Amber,2025-07-13
CLM-000299,20.1,Green,Clear,Green,2025-03-07
CLM-000300,15.2,Green,Clear,Green,2026-02-17
CLM-000301,8.6,Green,Clear,Green,2025-08-04
CLM-000302,24.1,Green,Suspected,Green,2026-03-12
CLM-000303,12.7,Green,Clear,Green,2025-06-05
CLM-000304,13.8,Green,Clear,Green,2025-11-10
CLM-000305,69.3,Red,Clear,Amber,2026-06-06
CLM-000306,8.8,Green,Clear,Green,2025-02-15
CLM-000307,15.6,Green,Clear,Green,2024-12-03
CLM-000308,15.2,Green,Clear,Green,2025-04-12
CLM-000309,12.8,Green,Clear,Green,2024-10-02
CLM-000310,39.0,Amber,Clear,Amber,2026-05-20
CLM-000311,25.4,Green,Clear,Green,2025-02-10
CLM-000312,26.6,Green,Clear,Green,2024-09-01
CLM-000313,33.6,Amber,Clear,Amber,2026-06-01
CLM-000314,18.4,Green,Clear,Green,2024-12-29
CLM-000315,11.5,Green,Clear,Green,2024-12-03
CLM-000316,1.0,Green,Clear,Green,2024-11-18
CLM-000317,23.9,Green,Clear,Green,2025-07-03
CLM-000318,23.8,Green,Clear,Green,2024-09-27
CLM-000319,66.9,Amber,Clear,Amber,2025-04-29
CLM-000320,1.0,Green,Clear,Green,2025-09-29
CLM-000321,23.9,Green,Clear,Green,2025-11-23
CLM-000322,34.4,Green,Clear,Amber,2026-05-01
CLM-000323,9.6,Green,Clear,Green,2026-03-01
CLM-000324,21.8,Green,Clear,Green,2024-07-07
CLM-000325,13.8,Green,Clear,Green,2024-07-22
CLM-000326,43.2,Amber,Suspected,Amber,2024-07-25
CLM-000327,24.4,Green,Clear,Green,2024-12-20
CLM-000328,15.1,Green,Clear,Green,2026-04-07
CLM-000329,19.2,Green,Suspected,Green,2025-08-31
CLM-000330,28.3,Green,Clear,Green,2026-05-30
CLM-000331,13.3,Green,Clear,Green,2025-02-16
CLM-000332,18.6,Green,Clear,Green,2025-12-18
CLM-000333,13.6,Green,Suspected,Green,2024-12-18
CLM-000334,13.5,Green,Clear,Green,2025-01-23
CLM-000335,26.3,Green,Clear,Green,2025-12-09
CLM-000336,19.2,Green,Clear,Green,2025-07-13
CLM-000337,58.4,Amber,Confirmed,Amber,2025-04-12
CLM-000338,44.5,Amber,Clear,Amber,2024-10-13
CLM-000339,18.3,Green,Clear,Green,2025-09-18
CLM-000340,18.6,Green,Clear,Green,2026-03-23
CLM-000341,34.5,Amber,Clear,Amber,2024-10-17
CLM-000342,12.1,Green,Clear,Green,2025-03-10
CLM-000343,20.5,Green,Clear,Green,2024-12-16
CLM-000344,26.9,Green,Clear,Green,2025-10-25
CLM-000345,29.1,Green,Clear,Green,2024-10-26
CLM-000346,87.7,Red,Clear,Red,2025-12-15
CLM-000347,32.2,Amber,Clear,Amber,2026-02-16
CLM-000348,29.1,Green,Clear,Green,2025-07-17
CLM-000349,19.5,Green,Confirmed,Green,2025-11-08
CLM-000350,39.7,Amber,Clear,Amber,2024-07-28
CLM-000351,10.3,Green,Clear,Green,2025-08-09
CLM-000352,21.4,Green,Clear,Green,2024-12-03
CLM-000353,1.0,Green,Clear,Green,2025-04-10
CLM-000354,26.8,Green,Clear,Green,2024-09-21
CLM-000355,21.5,Green,Clear,Green,2025-06-21
CLM-000356,90.4,Red,Clear,Red,2026-06-08
CLM-000357,24.2,Green,Clear,Green,2024-07-04
CLM-000358,39.2,Amber,Clear,Amber,2024-10-14
CLM-000359,100.0,Red,Clear,Red,2026-05-10
CLM-000360,40.4,Amber,Clear,Amber,2025-08-09
CLM-000361,90.3,Red,Clear,Red,2026-03-16
CLM-000362,11.4,Green,Suspected,Green,2026-05-24
CLM-000363,26.6,Green,Clear,Green,2026-06-16
CLM-000364,26.8,Amber,Clear,Green,2025-11-25
CLM-000365,50.0,Amber,Clear,Amber,2024-08-06
CLM-000366,34.4,Amber,Clear,Amber,2025-03-31
CLM-000367,36.3,Amber,Clear,Amber,2024-08-03
CLM-000368,38.4,Amber,Clear,Amber,2024-06-27
CLM-000369,18.1,Green,Clear,Green,2025-01-23
CLM-000370,30.0,Green,Clear,Green,2024-08-05
CLM-000371,22.3,Green,Clear,Green,2026-04-01
CLM-000372,41.9,Amber,Clear,Amber,2026-04-01
CLM-000373,42.5,Amber,Clear,Amber,2025-09-10
CLM-000374,12.2,Green,Clear,Green,2025-02-25
CLM-000375,32.5,Amber,Clear,Amber,2025-05-29
CLM-000376,32.0,Amber,Clear,Amber,2026-05-08
CLM-000377,26.2,Green,Suspected,Green,2025-05-19
CLM-000378,22.9,Green,Clear,Green,2026-05-17
CLM-000379,33.4,Amber,Clear,Amber,2025-08-01
CLM-000380,22.1,Green,Clear,Green,2025-03-27
CLM-000381,31.9,Amber,Clear,Amber,2025-03-17
CLM-000382,18.4,Green,Suspected,Green,2026-04-06
CLM-000383,100.0,Red,Clear,Red,2025-05-21
CLM-000384,9.2,Green,Clear,Green,2024-09-05
CLM-000385,31.4,Amber,Clear,Amber,2025-05-24
CLM-000386,55.0,Amber,Suspected,Amber,2026-05-12
CLM-000387,29.9,Amber,Clear,Green,2024-09-12
CLM-000388,17.0,Green,Clear,Green,2026-02-22
CLM-000389,34.6,Amber,Clear,Amber,2024-09-08
CLM-000390,42.4,Amber,Clear,Amber,2025-04-23
CLM-000391,31.9,Amber,Confirmed,Amber,2025-03-30
CLM-000392,53.3,Amber,Clear,Amber,2025-02-04
CLM-000393,9.7,Green,Clear,Green,2025-12-14
CLM-000394,46.5,Amber,Clear,Amber,2026-02-12
CLM-000395,23.4,Green,Clear,Green,2024-10-19
CLM-000396,19.2,Green,Clear,Green,2026-02-17
CLM-000397,26.9,Amber,Clear,Green,2025-10-28
CLM-000398,28.1,Amber,Clear,Green,2025-12-29
CLM-000399,1.8,Green,Clear,Green,2025-07-29
CLM-000400,32.8,Amber,Clear,Amber,2025-08-05
CLM-000401,18.9,Green,Clear,Green,2025-09-09
CLM-000402,9.1,Green,Clear,Green,2025-12-11
CLM-000403,12.5,Green,Clear,Green,2025-06-12
CLM-000404,100.0,Red,Clear,Red,2025-02-03
CLM-000405,21.9,Green,Clear,Green,2025-04-19
CLM-000406,29.1,Green,Clear,Green,2026-03-25
CLM-000407,60.3,Amber,Suspected,Amber,2026-04-14
CLM-000408,42.6,Amber,Clear,Amber,2024-07-20
CLM-000409,46.8,Amber,Clear,Amber,2025-12-16
CLM-000410,3.0,Green,Clear,Green,2025-07-21
CLM-000411,48.2,Amber,Clear,Amber,2025-04-17
CLM-000412,72.6,Red,Clear,Red,2025-02-12
CLM-000413,14.3,Green,Clear,Green,2024-11-05
CLM-000414,26.8,Green,Clear,Green,2025-11-12
CLM-000415,21.9,Green,Clear,Green,2025-10-05
CLM-000416,22.5,Green,Clear,Green,2024-10-15
CLM-000417,10.0,Green,Clear,Green,2024-11-16
CLM-000418,16.3,Amber,Suspected,Green,2025-01-16
CLM-000419,20.8,Green,Clear,Green,2025-08-19
CLM-000420,2.1,Green,Clear,Green,2024-08-04
CLM-000421,53.6,Amber,Clear,Amber,2024-09-24
CLM-000422,29.9,Amber,Suspected,Green,2024-11-26
CLM-000423,37.3,Amber,Clear,Amber,2024-09-14
CLM-000424,37.0,Green,Suspected,Amber,2026-02-08
CLM-000425,26.1,Green,Clear,Green,2025-06-13
CLM-000426,79.0,Red,Clear,Red,2026-01-23
CLM-000427,24.9,Green,Clear,Green,2026-04-25
CLM-000428,29.6,Amber,Clear,Green,2024-07-01
CLM-000429,4.3,Green,Clear,Green,2024-11-15
CLM-000430,1.6,Green,Clear,Green,2026-05-11
CLM-000431,22.1,Green,Clear,Green,2024-08-21
CLM-000432,22.2,Green,Suspected,Green,2025-05-30
CLM-000433,43.7,Amber,Clear,Amber,2026-02-04
CLM-000434,38.9,Amber,Clear,Amber,2025-12-11
CLM-000435,38.7,Amber,Clear,Amber,2024-08-11
CLM-000436,56.9,Amber,Clear,Amber,2025-10-31
CLM-000437,41.6,Amber,Clear,Amber,2025-02-27
CLM-000438,21.4,Green,Clear,Green,2025-03-17
CLM-000439,37.6,Amber,Confirmed,Amber,2026-02-07
CLM-000440,32.7,Amber,Clear,Amber,2025-06-15
CLM-000441,39.3,Amber,Clear,Amber,2024-08-31
CLM-000442,1.0,Green,Clear,Green,2025-02-26
CLM-000443,24.7,Amber,Clear,Green,2024-10-16
CLM-000444,11.7,Green,Clear,Green,2025-06-27
CLM-000445,22.2,Green,Clear,Green,2025-08-04
CLM-000446,68.0,Amber,Clear,Amber,2024-09-22
CLM-000447,33.0,Amber,Clear,Amber,2025-09-23
CLM-000448,31.7,Green,Clear,Amber,2025-04-18
CLM-000449,47.2,Amber,Clear,Amber,2026-05-25
CLM-000450,63.5,Amber,Clear,Amber,2025-03-26
CLM-000451,10.1,Green,Clear,Green,2024-08-31
CLM-000452,26.8,Green,Clear,Green,2025-03-31
CLM-000453,20.7,Green,Clear,Green,2025-04-14
CLM-000454,1.0,Green,Clear,Green,2024-12-30
CLM-000455,11.9,Green,Clear,Green,2025-05-21
CLM-000456,5.2,Green,Clear,Green,2025-12-12
CLM-000457,10.6,Green,Confirmed,Green,2024-10-10
CLM-000458,19.9,Green,Suspected,Green,2025-01-16
CLM-000459,41.3,Amber,Clear,Amber,2025-06-23
CLM-000460,26.1,Green,Suspected,Green,2025-10-07
CLM-000461,33.9,Amber,Clear,Amber,2025-12-29
CLM-000462,23.0,Amber,Clear,Green,2025-08-21
CLM-000463,26.4,Green,Clear,Green,2026-03-20
CLM-000464,35.2,Green,Clear,Amber,2025-09-06
CLM-000465,23.9,Amber,Suspected,Green,2024-09-23
CLM-000466,24.2,Green,Clear,Green,2025-12-05
CLM-000467,12.7,Green,Clear,Green,2026-03-17
CLM-000468,42.8,Amber,Clear,Amber,2026-04-17
CLM-000469,9.6,Green,Clear,Green,2024-12-07
CLM-000470,32.5,Amber,Clear,Amber,2024-07-31
CLM-000471,10.8,Green,Clear,Green,2025-04-17
CLM-000472,36.8,Amber,Clear,Amber,2024-12-17
CLM-000473,19.9,Green,Clear,Green,2025-11-20
CLM-000474,26.9,Green,Clear,Green,2026-06-09
CLM-000475,28.2,Green,Suspected,Green,2024-12-04
CLM-000476,48.0,Amber,Clear,Amber,2024-12-31
CLM-000477,18.0,Green,Clear,Green,2025-05-25
CLM-000478,28.3,Amber,Clear,Green,2025-07-01
CLM-000479,74.1,Red,Clear,Red,2025-01-18
CLM-000480,32.7,Green,Clear,Amber,2025-10-30
