client_id,market,tier,month,engagement_score
CLI-000015,South Africa,Diamond,2026-02-01,89.7
CLI-000015,South Africa,Diamond,2026-03-01,89.6
CLI-000015,South Africa,Diamond,2026-04-01,100.0
CLI-000015,South Africa,Diamond,2026-05-01,80.2
CLI-000015,South Africa,Diamond,2026-06-01,81.5
CLI-000016,Namibia,Bronze,2026-01-01,39.1
CLI-000016,Namibia,Bronze,2026-02-01,42.9
CLI-000016,Namibia,Bronze,2026-03-01,33.5
CLI-000016,Namibia,Bronze,2026-04-01,37.8
CLI-000016,Namibia,Bronze,2026-05-01,46.3
CLI-000016,Namibia,Bronze,2026-06-01,37.8
CLI-000017,South Africa,Diamond,2026-01-01,69.5
CLI-000017,South Africa,Diamond,2026-02-01,67.9
CLI-000017,South Africa,Diamond,2026-03-01,79.3
CLI-000017,South Africa,Diamond,2026-04-01,60.3
CLI-000017,South Africa,Diamond,2026-05-01,67.6
CLI-000017,South Africa,Diamond,2026-06-01,62.9
CLI-000018,South Africa,Silver,2026-01-01,77.3
CLI-000018,South Africa,Silver,2026-02-01,80.6
CLI-000018,South Africa,Silver,2026-03-01,76.1
CLI-000018,South Africa,Silver,2026-04-01,78.2
CLI-000018,South Africa,Silver,2026-05-01,78.2
CLI-000018,South Africa,Silver,2026-06-01,71.8
CLI-000020,South Africa,Gold,2026-01-01,81.7
CLI-000020,South Africa,Gold,2026-02-01,76.0
CLI-000020,South Africa,Gold,2026-03-01,69.3
CLI-000020,South Africa,Gold,2026-04-01,72.6
CLI-000020,South Africa,Gold,2026-05-01,71.3
CLI-000020,South Africa,Gold,2026-06-01,66.6
CLI-000021,South Africa,Blue,2026-01-01,46.5
CLI-000021,South Africa,Blue,2026-02-01,33.2
CLI-000021,South Africa,Blue,2026-03-01,31.9
CLI-000021,South Africa,Blue,2026-04-01,25.1
CLI-000021,South Africa,Blue,2026-05-01,35.1
CLI-000021,South Africa,Blue,2026-06-01,40.3
CLI-000022,Namibia,Silver,2026-01-01,93.7
CLI-000022,Namibia,Silver,2026-02-01,82.5
CLI-000022,Namibia,Silver,2026-03-01,83.5
CLI-000022,Namibia,Silver,2026-04-01,79.8
CLI-000022,Namibia,Silver,2026-05-01,90.6
CLI-000022,Namibia,Silver,2026-06-01,91.2
CLI-000024,South Africa,Bronze,2026-01-01,51.5
CLI-000024,South Africa,Bronze,2026-02-01,53.1
CLI-000024,South Africa,Bronze,2026-03-01,54.6
CLI-000024,South Africa,Bronze,2026-04-01,62.6
CLI-000024,South Africa,Bronze,2026-05-01,52.9
CLI-000024,South Africa,Bronze,2026-06-01,55.7
CLI-000026,South Africa,Blue,2026-01-01,62.3
CLI-000026,South Africa,Blue,2026-02-01,71.7
CLI-000026,South Africa,Blue,2026-03-01,69.1
CLI-000026,South Africa,Blue,2026-04-01,71.8
CLI-000026,South Africa,Blue,2026-05-01,69.7
CLI-000026,South Africa,Blue,2026-06-01,73.0
CLI-000028,Lesotho,Blue,2026-01-01,40.9
CLI-000028,Lesotho,Blue,2026-02-01,37.0
CLI-000028,Lesotho,Blue,2026-03-01,51.5
CLI-000028,Lesotho,Blue,2026-04-01,43.8
CLI-000028,Lesotho,Blue,2026-05-01,51.1
CLI-000028,Lesotho,Blue,2026-06-01,54.6
CLI-000029,South Africa,Bronze,2026-01-01,52.5
CLI-000029,South Africa,Bronze,2026-02-01,51.9
CLI-000029,South Africa,Bronze,2026-03-01,58.1
CLI-000029,South Africa,Bronze,2026-04-01,56.6
CLI-000029,South Africa,Bronze,2026-05-01,56.6
CLI-000029,South Africa,Bronze,2026-06-01,53.1
CLI-000030,South Africa,Gold,2026-01-01,90.6
CLI-000030,South Africa,Gold,2026-02-01,86.2
CLI-000030,South Africa,Gold,2026-03-01,82.0
CLI-000030,South Africa,Gold,2026-04-01,82.2
CLI-000030,South Africa,Gold,2026-05-01,82.5
CLI-000030,South Africa,Gold,2026-06-01,84.6
CLI-000031,South Africa,Diamond,2026-01-01,74.5
CLI-000031,South Africa,Diamond,2026-02-01,68.6
CLI-000031,South Africa,Diamond,2026-03-01,70.0
CLI-000031,South Africa,Diamond,2026-04-01,64.6
CLI-000031,South Africa,Diamond,2026-05-01,63.8
CLI-000031,South Africa,Diamond,2026-06-01,71.0
CLI-000032,South Africa,Gold,2026-01-01,67.4
CLI-000032,South Africa,Gold,2026-02-01,74.1
CLI-000032,South Africa,Gold,2026-03-01,74.3
CLI-000032,South Africa,Gold,2026-04-01,76.5
CLI-000032,South Africa,Gold,2026-05-01,71.0
CLI-000032,South Africa,Gold,2026-06-01,80.7
CLI-000033,Lesotho,Bronze,2026-01-01,76.1
CLI-000033,Lesotho,Bronze,2026-02-01,64.0
CLI-000033,Lesotho,Bronze,2026-03-01,72.3
CLI-000033,Lesotho,Bronze,2026-04-01,57.1
CLI-000033,Lesotho,Bronze,2026-05-01,75.9
CLI-000033,Lesotho,Bronze,2026-06-01,69.0
CLI-000034,South Africa,Diamond,2026-01-01,46.7
CLI-000034,South Africa,Diamond,2026-02-01,44.7
CLI-000034,South Africa,Diamond,2026-03-01,48.9
CLI-000034,South Africa,Diamond,2026-04-01,46.7
CLI-000034,South Africa,Diamond,2026-05-01,56.1
CLI-000034,South Africa,Diamond,2026-06-01,52.6
CLI-000035,South Africa,Silver,2026-01-01,77.6
CLI-000035,South Africa,Silver,2026-02-01,68.2
CLI-000035,South Africa,Silver,2026-03-01,75.4
CLI-000035,South Africa,Silver,2026-04-01,64.7
CLI-000035,South Africa,Silver,2026-05-01,70.3
CLI-000035,South Africa,Silver,2026-06-01,74.4
CLI-000036,Lesotho,Blue,2026-01-01,44.0
CLI-000036,Lesotho,Blue,2026-02-01,38.7
CLI-000036,Lesotho,Blue,2026-03-01,53.7
CLI-000036,Lesotho,Blue,2026-04-01,60.0
CLI-000036,Lesotho,Blue,2026-05-01,53.9
CLI-000036,Lesotho,Blue,2026-06-01,47.3
CLI-000037,South Africa,Diamond,2026-01-01,71.2
CLI-000037,South Africa,Diamond,2026-02-01,88.4
CLI-000037,South Africa,Diamond,2026-03-01,92.8
CLI-000037,South Africa,Diamond,2026-04-01,82.8
CLI-000037,South Africa,Diamond,2026-05-01,75.7
CLI-000037,South Africa,Diamond,2026-06-01,77.8
CLI-000038,Lesotho,Gold,2026-01-01,47.7
CLI-000038,Lesotho,Gold,2026-02-01,47.2
CLI-000038,Lesotho,Gold,2026-03-01,53.3
CLI-000038,Lesotho,Gold,2026-04-01,41.8
CLI-000038,Lesotho,Gold,2026-05-01,39.3
CLI-000038,Lesotho,Gold,2026-06-01,49.5
CLI-000040,South Africa,Gold,2026-01-01,40.2
CLI-000040,South Africa,Gold,2026-02-01,40.5
CLI-000040,South Africa,Gold,2026-03-01,37.3
CLI-000040,South Africa,Gold,2026-04-01,29.4
CLI-000040,South Africa,Gold,2026-05-01,41.3
CLI-000040,South Africa,Gold,2026-06-01,42.3
CLI-000041,Botswana,Silver,2026-01-01,54.8
CLI-000041,Botswana,Silver,2026-02-01,45.8
CLI-000041,Botswana,Silver,2026-03-01,46.7
CLI-000041,Botswana,Silver,2026-04-01,58.6
CLI-000041,Botswana,Silver,2026-05-01,51.9
CLI-000041,Botswana,Silver,2026-06-01,45.1
CLI-000042,South Africa,Gold,2026-01-01,82.2
CLI-000042,South Africa,Gold,2026-02-01,81.2
CLI-000042,South Africa,Gold,2026-03-01,78.3
CLI-000042,South Africa,Gold,2026-04-01,79.8
CLI-000042,South Africa,Gold,2026-05-01,79.0
CLI-000042,South Africa,Gold,2026-06-01,77.6
CLI-000043,Botswana,Diamond,2026-01-01,74.3
CLI-000043,Botswana,Diamond,2026-02-01,56.6
CLI-000043,Botswana,Diamond,2026-03-01,66.4
CLI-000043,Botswana,Diamond,2026-04-01,75.1
CLI-000043,Botswana,Diamond,2026-05-01,68.9
CLI-000043,Botswana,Diamond,2026-06-01,69.4
CLI-000044,South Africa,Blue,2026-01-01,83.3
CLI-000044,South Africa,Blue,2026-02-01,84.8
CLI-000044,South Africa,Blue,2026-03-01,72.5
CLI-000044,South Africa,Blue,2026-04-01,79.4
CLI-000044,South Africa,Blue,2026-05-01,73.3
CLI-000044,South Africa,Blue,2026-06-01,76.7
CLI-000046,South Africa,Diamond,2026-01-01,82.8
CLI-000046,South Africa,Diamond,2026-02-01,84.4
CLI-000046,South Africa,Diamond,2026-03-01,90.7
CLI-000046,South Africa,Diamond,2026-04-01,84.4
CLI-000046,South Africa,Diamond,2026-05-01,84.7
CLI-000046,South Africa,Diamond,2026-06-01,82.7
CLI-000047,Botswana,Silver,2026-01-01,65.4
CLI-000047,Botswana,Silver,2026-02-01,66.7
CLI-000047,Botswana,Silver,2026-03-01,66.2
CLI-000047,Botswana,Silver,2026-04-01,61.7
CLI-000047,Botswana,Silver,2026-05-01,60.6
CLI-000047,Botswana,Silver,2026-06-01,70.7
CLI-000048,Lesotho,Silver,2026-01-01,36.8
CLI-000048,Lesotho,Silver,2026-02-01,42.1
CLI-000048,Lesotho,Silver,2026-03-01,48.8
CLI-000048,Lesotho,Silver,2026-04-01,39.5
CLI-000048,Lesotho,Silver,2026-05-01,44.8
CLI-000048,Lesotho,Silver,2026-06-01,43.7
CLI-000049,Botswana,Blue,2026-01-01,78.1
CLI-000049,Botswana,Blue,2026-02-01,79.7
CLI-000049,Botswana,Blue,2026-03-01,79.3
CLI-000049,Botswana,Blue,2026-04-01,82.5
CLI-000049,Botswana,Blue,2026-05-01,80.8
CLI-000049,Botswana,Blue,2026-06-01,87.2
CLI-000050,South Africa,Bronze,2026-01-01,54.8
CLI-000050,South Africa,Bronze,2026-02-01,35.7
CLI-000050,South Africa,Bronze,2026-03-01,43.0
CLI-000050,South Africa,Bronze,2026-04-01,39.8
CLI-000050,South Africa,Bronze,2026-05-01,52.6
CLI-000050,South Africa,Bronze,2026-06-01,47.0
CLI-000051,South Africa,Gold,2026-01-01,98.3
CLI-000051,South Africa,Gold,2026-02-01,88.3
CLI-000051,South Africa,Gold,2026-03-01,85.5
CLI-000051,South Africa,Gold,2026-04-01,94.8
CLI-000051,South Africa,Gold,2026-05-01,94.7
CLI-000051,South Africa,Gold,2026-06-01,92.1
CLI-000052,South Africa,Blue,2026-01-01,68.1
CLI-000052,South Africa,Blue,2026-02-01,66.0
CLI-000052,South Africa,Blue,2026-03-01,66.1
CLI-000052,South Africa,Blue,2026-04-01,69.5
CLI-000052,South Africa,Blue,2026-05-01,67.8
CLI-000052,South Africa,Blue,2026-06-01,66.1
CLI-000053,Lesotho,Bronze,2026-01-01,57.2
CLI-000053,Lesotho,Bronze,2026-02-01,43.2
CLI-000053,Lesotho,Bronze,2026-03-01,43.9
CLI-000053,Lesotho,Bronze,2026-04-01,47.4
CLI-000053,Lesotho,Bronze,2026-05-01,50.2
CLI-000053,Lesotho,Bronze,2026-06-01,50.3
CLI-000055,Lesotho,Bronze,2026-01-01,82.2
CLI-000055,Lesotho,Bronze,2026-02-01,86.4
CLI-000055,Lesotho,Bronze,2026-03-01,90.1
CLI-000055,Lesotho,Bronze,2026-04-01,80.1
CLI-000055,Lesotho,Bronze,2026-05-01,74.2
CLI-000055,Lesotho,Bronze,2026-06-01,72.9
CLI-000056,Botswana,Blue,2026-01-01,74.1
CLI-000056,Botswana,Blue,2026-02-01,81.1
CLI-000056,Botswana,Blue,2026-03-01,78.0
CLI-000056,Botswana,Blue,2026-04-01,88.2
CLI-000056,Botswana,Blue,2026-05-01,72.1
CLI-000056,Botswana,Blue,2026-06-01,75.7
CLI-000058,South Africa,Silver,2026-01-01,45.2
CLI-000058,South Africa,Silver,2026-02-01,43.2
CLI-000058,South Africa,Silver,2026-03-01,37.8
CLI-000058,South Africa,Silver,2026-04-01,36.3
CLI-000058,South Africa,Silver,2026-05-01,35.1
CLI-000058,South Africa,Silver,2026-06-01,41.7
CLI-000059,Namibia,Diamond,2026-01-01,82.2
CLI-000059,Namibia,Diamond,2026-02-01,65.7
CLI-000059,Namibia,Diamond,2026-03-01,75.9
CLI-000059,Namibia,Diamond,2026-04-01,75.4
CLI-000059,Namibia,Diamond,2026-05-01,71.1
CLI-000059,Namibia,Diamond,2026-06-01,75.1
CLI-000060,Namibia,Bronze,2026-01-01,81.8
CLI-000060,Namibia,Bronze,2026-02-01,74.4
CLI-000060,Namibia,Bronze,2026-03-01,80.4
CLI-000060,Namibia,Bronze,2026-04-01,89.3
CLI-000060,Namibia,Bronze,2026-05-01,78.9
CLI-000060,Namibia,Bronze,2026-06-01,73.2
CLI-000061,South Africa,Gold,2026-01-01,58.8
CLI-000061,South Africa,Gold,2026-02-01,62.4
CLI-000061,South Africa,Gold,2026-03-01,70.4
CLI-000061,South Africa,Gold,2026-04-01,68.8
CLI-000061,South Africa,Gold,2026-05-01,55.3
CLI-000061,South Africa,Gold,2026-06-01,58.5
CLI-000062,South Africa,Gold,2026-01-01,73.7
CLI-000062,South Africa,Gold,2026-02-01,86.9
CLI-000062,South Africa,Gold,2026-03-01,87.3
CLI-000062,South Africa,Gold,2026-04-01,78.6
CLI-000062,South Africa,Gold,2026-05-01,74.3
CLI-000062,South Africa,Gold,2026-06-01,68.5
CLI-000063,Namibia,Bronze,2026-01-01,60.3
CLI-000063,Namibia,Bronze,2026-02-01,51.5
CLI-000063,Namibia,Bronze,2026-03-01,58.0
CLI-000063,Namibia,Bronze,2026-04-01,45.9
CLI-000063,Namibia,Bronze,2026-05-01,56.8
CLI-000063,Namibia,Bronze,2026-06-01,68.0
CLI-000065,Lesotho,Silver,2026-01-01,82.6
CLI-000065,Lesotho,Silver,2026-02-01,86.5
CLI-000065,Lesotho,Silver,2026-03-01,72.1
CLI-000065,Lesotho,Silver,2026-04-01,85.8
CLI-000065,Lesotho,Silver,2026-05-01,96.3
CLI-000065,Lesotho,Silver,2026-06-01,96.0
CLI-000066,Botswana,Blue,2026-01-01,30.5
CLI-000066,Botswana,Blue,2026-02-01,35.4
CLI-000066,Botswana,Blue,2026-03-01,42.0
CLI-000066,Botswana,Blue,2026-04-01,31.3
CLI-000066,Botswana,Blue,2026-05-01,34.3
CLI-000066,Botswana,Blue,2026-06-01,33.2
CLI-000067,South Africa,Bronze,2026-01-01,72.5
CLI-000067,South Africa,Bronze,2026-02-01,67.3
CLI-000067,South Africa,Bronze,2026-03-01,66.7
CLI-000067,South Africa,Bronze,2026-04-01,57.9
CLI-000067,South Africa,Bronze,2026-05-01,61.2
CLI-000067,South Africa,Bronze,2026-06-01,67.2
CLI-000070,Lesotho,Silver,2026-01-01,32.8
CLI-000070,Lesotho,Silver,2026-02-01,47.1
CLI-000070,Lesotho,Silver,2026-03-01,45.4
CLI-000070,Lesotho,Silver,2026-04-01,45.4
CLI-000070,Lesotho,Silver,2026-05-01,35.4
CLI-000070,Lesotho,Silver,2026-06-01,46.0
CLI-000071,South Africa,Blue,2026-01-01,38.5
CLI-000071,South Africa,Blue,2026-02-01,45.2
CLI-000071,South Africa,Blue,2026-03-01,38.4
CLI-000071,South Africa,Blue,2026-04-01,37.4
CLI-000071,South Africa,Blue,2026-05-01,47.1
CLI-000071,South Africa,Blue,2026-06-01,47.5
CLI-000072,Lesotho,Gold,2026-01-01,56.5
CLI-000072,Lesotho,Gold,2026-02-01,54.3
CLI-000072,Lesotho,Gold,2026-03-01,58.2
CLI-000072,Lesotho,Gold,2026-04-01,56.6
CLI-000072,Lesotho,Gold,2026-05-01,53.9
CLI-000072,Lesotho,Gold,2026-06-01,55.0
CLI-000073,South Africa,Silver,2026-01-01,34.1
CLI-000073,South Africa,Silver,2026-02-01,31.6
CLI-000073,South Africa,Silver,2026-03-01,42.6
CLI-000073,South Africa,Silver,2026-04-01,47.4
CLI-000073,South Africa,Silver,2026-05-01,45.9
CLI-000073,South Africa,Silver,2026-06-01,40.1
CLI-000074,Namibia,Gold,2026-01-01,66.7
CLI-000074,Namibia,Gold,2026-02-01,54.4
CLI-000074,Namibia,Gold,2026-03-01,55.6
CLI-000074,Namibia,Gold,2026-04-01,49.8
CLI-000074,Namibia,Gold,2026-05-01,43.3
CLI-000074,Namibia,Gold,2026-06-01,49.6
CLI-000077,South Africa,Blue,2026-01-01,68.2
CLI-000077,South Africa,Blue,2026-02-01,71.5
CLI-000077,South Africa,Blue,2026-03-01,66.9
CLI-000077,South Africa,Blue,2026-04-01,75.5
CLI-000077,South Africa,Blue,2026-05-01,74.1
CLI-000077,South Africa,Blue,2026-06-01,67.9
CLI-000079,South Africa,Bronze,2026-01-01,41.4
CLI-000079,South Africa,Bronze,2026-02-01,32.9
CLI-000079,South Africa,Bronze,2026-03-01,43.0
CLI-000079,South Africa,Bronze,2026-04-01,37.6
CLI-000079,South Africa,Bronze,2026-05-01,41.0
CLI-000079,South Africa,Bronze,2026-06-01,33.8
CLI-000080,South Africa,Bronze,2026-01-01,93.9
CLI-000080,South Africa,Bronze,2026-02-01,100.0
CLI-000080,South Africa,Bronze,2026-03-01,91.4
CLI-000080,South Africa,Bronze,2026-04-01,91.7
CLI-000080,South Africa,Bronze,2026-05-01,91.4
CLI-000080,South Africa,Bronze,2026-06-01,93.6
CLI-000081,Lesotho,Blue,2026-01-01,64.9
CLI-000081,Lesotho,Blue,2026-02-01,52.0
CLI-000081,Lesotho,Blue,2026-03-01,59.8
CLI-000081,Lesotho,Blue,2026-04-01,56.0
CLI-000081,Lesotho,Blue,2026-05-01,54.9
CLI-000081,Lesotho,Blue,2026-06-01,60.9
CLI-000083,Botswana,Diamond,2026-01-01,80.0
CLI-000083,Botswana,Diamond,2026-02-01,94.8
CLI-000083,Botswana,Diamond,2026-03-01,85.7
CLI-000083,Botswana,Diamond,2026-04-01,82.9
CLI-000083,Botswana,Diamond,2026-05-01,96.7
CLI-000083,Botswana,Diamond,2026-06-01,96.6
CLI-000085,South Africa,Bronze,2026-01-01,41.1
CLI-000085,South Africa,Bronze,2026-02-01,51.7
CLI-000085,South Africa,Bronze,2026-03-01,50.2
CLI-000085,South Africa,Bronze,2026-04-01,60.9
CLI-000085,South Africa,Bronze,2026-05-01,56.6
CLI-000085,South Africa,Bronze,2026-06-01,57.3
CLI-000087,Botswana,Bronze,2026-01-01,36.2
CLI-000087,Botswana,Bronze,2026-02-01,48.5
CLI-000087,Botswana,Bronze,2026-03-01,44.8
CLI-000087,Botswana,Bronze,2026-04-01,50.1
CLI-000087,Botswana,Bronze,2026-05-01,49.5
CLI-000087,Botswana,Bronze,2026-06-01,48.5
CLI-000090,South Africa,Gold,2026-01-01,90.9
CLI-000090,South Africa,Gold,2026-02-01,81.7
CLI-000090,South Africa,Gold,2026-03-01,74.0
CLI-000090,South Africa,Gold,2026-04-01,80.9
CLI-000090,South Africa,Gold,2026-05-01,86.0
CLI-000090,South Africa,Gold,2026-06-01,84.6
CLI-000091,Lesotho,Diamond,2026-01-01,48.1
CLI-000091,Lesotho,Diamond,2026-02-01,49.5
CLI-000091,Lesotho,Diamond,2026-03-01,49.8
CLI-000091,Lesotho,Diamond,2026-04-01,58.5
CLI-000091,Lesotho,Diamond,2026-05-01,40.6
CLI-000091,Lesotho,Diamond,2026-06-01,49.2
CLI-000092,Namibia,Blue,2026-01-01,83.0
CLI-000092,Namibia,Blue,2026-02-01,95.0
CLI-000092,Namibia,Blue,2026-03-01,88.4
CLI-000092,Namibia,Blue,2026-04-01,100.0
CLI-000092,Namibia,Blue,2026-05-01,96.9
CLI-000092,Namibia,Blue,2026-06-01,95.8
CLI-000093,Botswana,Bronze,2026-01-01,35.4
CLI-000093,Botswana,Bronze,2026-02-01,28.6
CLI-000093,Botswana,Bronze,2026-03-01,38.2
CLI-000093,Botswana,Bronze,2026-04-01,40.2
CLI-000093,Botswana,Bronze,2026-05-01,33.7
CLI-000093,Botswana,Bronze,2026-06-01,32.5
CLI-000094,South Africa,Blue,2026-01-01,57.2
CLI-000094,South Africa,Blue,2026-02-01,61.2
CLI-000094,South Africa,Blue,2026-03-01,55.0
CLI-000094,South Africa,Blue,2026-04-01,66.6
CLI-000094,South Africa,Blue,2026-05-01,55.3
CLI-000094,South Africa,Blue,2026-06-01,46.6
CLI-000095,Lesotho,Diamond,2026-01-01,39.4
CLI-000095,Lesotho,Diamond,2026-02-01,45.1
CLI-000095,Lesotho,Diamond,2026-03-01,43.4
CLI-000095,Lesotho,Diamond,2026-04-01,44.9
CLI-000095,Lesotho,Diamond,2026-05-01,51.3
CLI-000095,Lesotho,Diamond,2026-06-01,40.4
CLI-000096,Namibia,Silver,2026-01-01,68.1
CLI-000096,Namibia,Silver,2026-02-01,73.3
CLI-000096,Namibia,Silver,2026-03-01,78.0
CLI-000096,Namibia,Silver,2026-04-01,71.2
CLI-000096,Namibia,Silver,2026-05-01,80.9
CLI-000096,Namibia,Silver,2026-06-01,75.4
CLI-000098,Lesotho,Blue,2026-01-01,58.1
CLI-000098,Lesotho,Blue,2026-02-01,63.4
CLI-000098,Lesotho,Blue,2026-03-01,52.5
CLI-000098,Lesotho,Blue,2026-04-01,54.6
CLI-000098,Lesotho,Blue,2026-05-01,63.3
CLI-000098,Lesotho,Blue,2026-06-01,54.9
CLI-000100,Namibia,Bronze,2026-01-01,71.3
CLI-000100,Namibia,Bronze,2026-02-01,77.0
CLI-000100,Namibia,Bronze,2026-03-01,81.9
CLI-000100,Namibia,Bronze,2026-04-01,80.8
CLI-000100,Namibia,Bronze,2026-05-01,92.0
CLI-000100,Namibia,Bronze,2026-06-01,72.8
CLI-000101,Botswana,Blue,2026-01-01,49.8
CLI-000101,Botswana,Blue,2026-02-01,52.2
CLI-000101,Botswana,Blue,2026-03-01,51.4
CLI-000101,Botswana,Blue,2026-04-01,58.7
CLI-000101,Botswana,Blue,2026-05-01,52.9
CLI-000101,Botswana,Blue,2026-06-01,57.8
CLI-000103,South Africa,Silver,2026-01-01,84.9
CLI-000103,South Africa,Silver,2026-02-01,82.4
CLI-000103,South Africa,Silver,2026-03-01,67.5
CLI-000103,South Africa,Silver,2026-04-01,84.1
CLI-000103,South Africa,Silver,2026-05-01,78.2
CLI-000103,South Africa,Silver,2026-06-01,72.8
CLI-000104,South Africa,Blue,2026-01-01,55.6
CLI-000104,South Africa,Blue,2026-02-01,51.8
CLI-000104,South Africa,Blue,2026-03-01,64.5
CLI-000104,South Africa,Blue,2026-04-01,58.4
CLI-000104,South Africa,Blue,2026-05-01,66.0
CLI-000104,South Africa,Blue,2026-06-01,50.1
CLI-000105,South Africa,Blue,2026-01-01,70.6
CLI-000105,South Africa,Blue,2026-02-01,66.2
CLI-000105,South Africa,Blue,2026-03-01,62.4
CLI-000105,South Africa,Blue,2026-04-01,62.9
CLI-000105,South Africa,Blue,2026-05-01,72.1
CLI-000105,South Africa,Blue,2026-06-01,59.1
CLI-000106,South Africa,Blue,2026-01-01,81.8
CLI-000106,South Africa,Blue,2026-02-01,78.4
CLI-000106,South Africa,Blue,2026-03-01,84.8
CLI-000106,South Africa,Blue,2026-04-01,82.9
CLI-000106,South Africa,Blue,2026-05-01,81.6
CLI-000106,South Africa,Blue,2026-06-01,77.5
CLI-000107,Botswana,Bronze,2026-01-01,79.4
CLI-000107,Botswana,Bronze,2026-02-01,80.8
CLI-000107,Botswana,Bronze,2026-03-01,85.0
CLI-000107,Botswana,Bronze,2026-04-01,81.7
CLI-000107,Botswana,Bronze,2026-05-01,74.2
CLI-000107,Botswana,Bronze,2026-06-01,78.1
CLI-000108,South Africa,Silver,2026-01-01,79.7
CLI-000108,South Africa,Silver,2026-02-01,90.3
CLI-000108,South Africa,Silver,2026-03-01,79.7
CLI-000108,South Africa,Silver,2026-04-01,88.3
CLI-000108,South Africa,Silver,2026-05-01,79.0
CLI-000108,South Africa,Silver,2026-06-01,87.8
CLI-000110,South Africa,Bronze,2026-01-01,42.8
CLI-000110,South Africa,Bronze,2026-02-01,43.2
CLI-000110,South Africa,Bronze,2026-03-01,57.2
CLI-000110,South Africa,Bronze,2026-04-01,51.1
CLI-000110,South Africa,Bronze,2026-05-01,58.7
CLI-000110,South Africa,Bronze,2026-06-01,54.8
CLI-000113,South Africa,Blue,2026-01-01,89.5
CLI-000113,South Africa,Blue,2026-02-01,77.0
