client_id,redemption_date,partner,reward_value
CLI-000962,2026-04-28,British Airways,250
CLI-003976,2025-06-16,Woolworths,50
CLI-005418,2025-10-23,Virgin Active,600
CLI-004023,2025-11-04,British Airways,150
CLI-001548,2025-01-15,HBO Max,50
CLI-004546,2025-10-23,Takealot,50
CLI-002116,2024-11-28,Takealot,400
CLI-002089,2025-06-22,Engen,50
CLI-004128,2025-07-22,Takealot,250
CLI-005355,2024-07-16,British Airways,600
CLI-002268,2025-11-18,Takealot,100
CLI-001115,2025-12-14,HBO Max,600
CLI-000365,2026-01-01,British Airways,100
CLI-003371,2024-10-21,British Airways,150
CLI-001886,2025-12-06,Engen,50
CLI-001875,2026-02-04,Takealot,150
CLI-003648,2025-08-16,British Airways,50
CLI-004674,2024-10-17,Woolworths,400
CLI-004132,2026-05-18,British Airways,600
CLI-004827,2024-12-14,Woolworths,600
CLI-004696,2024-09-11,Virgin Active,600
CLI-002225,2024-08-30,Woolworths,600
CLI-001586,2025-01-22,Virgin Active,250
CLI-006183,2025-06-07,Engen,400
CLI-006351,2026-03-05,HBO Max,150
CLI-004413,2024-12-01,Engen,400
CLI-000645,2025-06-05,Woolworths,600
CLI-004475,2025-10-17,Engen,250
CLI-003101,2024-11-17,Woolworths,250
CLI-000827,2025-05-24,Woolworths,250
CLI-002268,2025-12-01,Engen,150
CLI-002845,2026-03-25,HBO Max,250
CLI-001765,2025-01-01,HBO Max,250
CLI-003088,2024-06-20,British Airways,150
CLI-005627,2025-04-22,Takealot,250
CLI-002041,2025-12-06,British Airways,100
CLI-004368,2025-07-24,Takealot,400
CLI-002289,2024-06-21,Engen,400
CLI-003232,2026-05-09,Takealot,600
CLI-006034,2025-11-06,Takealot,100
CLI-002661,2024-12-30,HBO Max,150
CLI-000431,2025-05-03,Takealot,600
CLI-004389,2025-12-06,Takealot,150
CLI-001521,2026-05-10,Woolworths,150
CLI-006130,2024-07-04,Engen,100
CLI-000044,2025-04-18,HBO Max,100
CLI-004021,2025-10-14,HBO Max,400
CLI-005310,2025-08-14,British Airways,50
CLI-001181,2025-03-20,Engen,150
CLI-001488,2025-04-29,British Airways,100
CLI-003825,2026-02-09,British Airways,250
CLI-001436,2026-02-05,Virgin Active,100
CLI-005486,2025-03-06,HBO Max,400
CLI-004276,2025-12-09,Takealot,250
CLI-003771,2025-01-17,HBO Max,400
CLI-000651,2026-04-20,Engen,250
CLI-003640,2025-08-03,Takealot,250
CLI-005057,2024-08-29,Takealot,600
CLI-005670,2026-06-19,Takealot,100
CLI-000170,2024-11-27,Takealot,100
CLI-002090,2025-01-12,HBO Max,150
CLI-002000,2026-06-10,Takealot,250
CLI-005564,2025-10-25,Virgin Active,250
CLI-001961,2024-06-22,Engen,400
CLI-005455,2024-08-02,HBO Max,400
CLI-000988,2025-06-27,Engen,400
CLI-000234,2026-02-13,Virgin Active,50
CLI-002046,2026-03-25,Virgin Active,400
CLI-005853,2024-07-10,Takealot,250
CLI-005744,2025-03-20,British Airways,100
CLI-005580,2024-08-12,Virgin Active,250
CLI-000486,2025-08-29,Engen,250
CLI-002039,2024-12-11,British Airways,50
CLI-000995,2025-06-27,HBO Max,100
CLI-002072,2025-06-12,Engen,150
CLI-003066,2026-03-04,Virgin Active,150
CLI-004630,2026-03-26,HBO Max,50
CLI-002346,2025-08-04,Takealot,400
CLI-001998,2025-08-03,Virgin Active,400
CLI-001478,2024-12-06,Engen,600
CLI-001965,2026-06-05,Woolworths,150
CLI-002135,2026-01-15,Takealot,100
CLI-004503,2025-05-26,Takealot,50
CLI-005174,2025-03-10,Virgin Active,250
CLI-001610,2025-09-26,Virgin Active,150
CLI-005252,2026-03-18,HBO Max,400
CLI-003988,2026-04-02,Woolworths,150
CLI-003027,2025-02-14,Woolworths,400
CLI-001940,2024-12-01,British Airways,150
CLI-003340,2025-12-23,British Airways,400
CLI-000048,2024-10-31,HBO Max,50
CLI-002981,2024-09-14,Woolworths,150
CLI-002441,2025-07-13,Engen,600
CLI-001053,2025-12-28,Woolworths,250
CLI-002877,2025-02-22,Engen,400
CLI-003958,2026-02-19,HBO Max,400
CLI-000747,2026-01-26,Virgin Active,50
CLI-001779,2026-04-15,Virgin Active,250
CLI-003229,2026-05-14,Engen,400
CLI-004377,2025-02-25,Takealot,250
CLI-002295,2026-06-02,Engen,600
CLI-000871,2026-02-22,HBO Max,150
CLI-004800,2025-02-25,HBO Max,400
CLI-005112,2026-06-19,Woolworths,50
CLI-003869,2026-03-03,Takealot,600
CLI-000130,2024-10-16,Virgin Active,100
CLI-003958,2024-12-22,Takealot,150
CLI-003731,2026-01-04,British Airways,400
CLI-003805,2024-10-09,Engen,100
CLI-000051,2024-09-30,Virgin Active,600
CLI-001185,2026-04-18,Engen,150
CLI-001914,2025-12-01,British Airways,400
CLI-004223,2025-12-07,Engen,600
CLI-006295,2025-02-21,Engen,100
CLI-005835,2026-03-06,Woolworths,100
CLI-003431,2025-02-07,HBO Max,600
CLI-004409,2025-07-29,HBO Max,600
CLI-002693,2026-01-04,Virgin Active,250
CLI-003359,2024-12-24,British Airways,600
CLI-003986,2026-06-15,Woolworths,150
CLI-004545,2024-08-20,Virgin Active,50
CLI-002146,2025-11-03,Engen,150
CLI-003412,2026-01-24,Virgin Active,50
CLI-003945,2024-08-10,British Airways,250
CLI-000576,2025-03-11,Virgin Active,50
CLI-005540,2024-11-29,Woolworths,250
CLI-003938,2025-07-05,Engen,50
CLI-004200,2025-01-23,Takealot,250
CLI-003944,2025-02-25,Engen,150
CLI-000687,2024-08-12,Woolworths,150
CLI-001963,2024-12-11,HBO Max,600
CLI-002711,2024-06-29,Woolworths,100
CLI-002870,2026-04-12,Virgin Active,100
CLI-002658,2026-05-10,Virgin Active,100
CLI-005967,2025-03-12,British Airways,400
CLI-004221,2024-07-18,Woolworths,600
CLI-005562,2025-04-05,Engen,150
CLI-005300,2025-07-28,Engen,50
CLI-000250,2024-11-04,British Airways,400
CLI-001673,2026-04-01,Takealot,100
CLI-004620,2024-08-04,HBO Max,50
CLI-002890,2025-04-27,Takealot,150
CLI-001564,2024-07-06,HBO Max,150
CLI-003298,2025-05-22,Engen,600
CLI-002678,2025-07-07,HBO Max,50
CLI-005497,2024-12-15,Takealot,150
CLI-006034,2026-04-21,Takealot,50
CLI-000929,2026-02-13,British Airways,100
CLI-006162,2024-09-07,Woolworths,50
CLI-001597,2025-08-04,HBO Max,100
CLI-003412,2025-05-16,Engen,150
CLI-000296,2024-08-01,Takealot,250
CLI-000415,2026-05-08,Engen,400
CLI-006098,2024-11-13,Virgin Active,600
CLI-002738,2025-10-11,Engen,50
CLI-001305,2024-09-01,Virgin Active,150
CLI-002228,2026-02-23,Takealot,50
CLI-001608,2024-10-22,British Airways,150
CLI-000665,2025-01-04,Engen,250
CLI-001045,2025-09-06,HBO Max,50
CLI-000817,2025-03-10,Woolworths,600
CLI-004241,2024-08-24,British Airways,50
CLI-005580,2025-01-20,HBO Max,100
CLI-001388,2025-01-25,Takealot,600
CLI-005512,2024-12-12,Takealot,250
CLI-001804,2025-03-21,Woolworths,100
CLI-005533,2026-05-16,British Airways,150
CLI-000560,2024-08-08,HBO Max,50
CLI-001976,2026-05-17,Takealot,400
CLI-003963,2024-07-09,Virgin Active,400
CLI-002812,2025-07-20,Engen,250
CLI-004880,2025-09-14,British Airways,400
CLI-001344,2024-07-04,British Airways,150
CLI-003524,2025-05-14,Takealot,50
CLI-000193,2025-01-24,Woolworths,400
CLI-001666,2025-04-18,British Airways,100
CLI-005927,2025-12-20,HBO Max,50
CLI-000692,2026-04-07,HBO Max,600
CLI-005586,2025-10-21,Virgin Active,600
CLI-002624,2025-09-06,British Airways,250
CLI-005131,2025-02-03,British Airways,100
CLI-001960,2024-11-06,Takealot,50
CLI-000610,2026-02-10,British Airways,250
CLI-001149,2025-01-20,Virgin Active,250
CLI-005433,2024-06-23,Virgin Active,150
CLI-001707,2025-02-03,Takealot,150
CLI-003836,2024-11-16,Woolworths,150
CLI-002653,2024-10-04,British Airways,50
CLI-000692,2024-06-24,HBO Max,400
CLI-000391,2026-05-15,Engen,600
CLI-004941,2024-10-30,British Airways,400
CLI-002526,2024-12-24,Virgin Active,150
CLI-000512,2025-07-22,British Airways,100
CLI-005291,2024-10-01,Takealot,150
CLI-002249,2025-08-17,British Airways,600
CLI-002665,2024-09-19,British Airways,100
CLI-004401,2026-04-25,Virgin Active,50
CLI-001764,2025-10-24,Engen,100
CLI-000523,2026-06-13,Virgin Active,150
CLI-002974,2025-07-29,Woolworths,600
CLI-002922,2024-06-20,Virgin Active,100
CLI-006320,2025-08-19,Takealot,400
CLI-002427,2025-12-02,Engen,100
CLI-006069,2026-01-27,British Airways,100
CLI-000810,2025-11-04,HBO Max,100
CLI-006430,2026-05-10,Engen,600
CLI-003753,2025-08-18,Engen,400
CLI-001284,2025-10-28,Woolworths,150
CLI-004385,2026-02-09,Engen,250
CLI-003742,2026-03-16,Woolworths,400
CLI-006033,2026-02-02,Woolworths,150
CLI-006273,2025-08-02,Engen,150
CLI-005260,2026-02-22,Woolworths,100
CLI-000067,2025-04-01,Woolworths,100
CLI-002209,2026-04-23,British Airways,150
CLI-006372,2026-04-03,British Airways,400
CLI-001542,2025-08-04,HBO Max,150
CLI-002430,2026-01-17,Engen,50
CLI-001047,2025-09-28,Takealot,150
CLI-005496,2024-10-20,Virgin Active,250
CLI-005262,2024-10-13,Engen,400
CLI-003197,2026-06-07,Woolworths,50
CLI-002689,2024-09-26,British Airways,600
CLI-001925,2026-05-20,British Airways,100
CLI-002773,2025-04-29,Virgin Active,50
CLI-000119,2026-05-06,Woolworths,50
CLI-006120,2025-06-12,Engen,250
CLI-005186,2025-06-23,Takealot,50
CLI-003127,2025-06-03,Engen,250
CLI-004723,2024-07-23,Virgin Active,150
CLI-003545,2026-02-01,HBO Max,600
CLI-003216,2025-12-31,Woolworths,150
CLI-005721,2024-11-06,Takealot,600
CLI-000055,2025-07-05,Woolworths,250
CLI-006302,2025-10-22,Woolworths,400
CLI-001969,2025-11-19,HBO Max,150
CLI-005000,2025-11-09,Takealot,100
CLI-001415,2025-12-21,HBO Max,150
CLI-000004,2026-03-13,Woolworths,100
CLI-005595,2025-06-06,Takealot,600
CLI-002753,2024-11-05,HBO Max,100
CLI-002910,2024-09-24,HBO Max,100
CLI-002403,2025-10-30,Virgin Active,600
CLI-000630,2025-02-17,Virgin Active,250
CLI-005696,2024-12-15,British Airways,150
CLI-004233,2024-12-12,Takealot,400
CLI-004151,2026-03-27,British Airways,150
CLI-002441,2025-08-12,Virgin Active,100
CLI-002420,2026-03-04,British Airways,150
CLI-005779,2025-12-06,Woolworths,400
CLI-003962,2024-10-28,Virgin Active,100
CLI-004261,2024-07-06,Takealot,100
CLI-001275,2025-06-21,Takealot,250
CLI-004617,2025-04-20,Woolworths,150
CLI-006473,2026-03-28,Takealot,250
CLI-005342,2025-09-04,Virgin Active,250
CLI-000865,2026-04-28,Woolworths,400
CLI-004000,2025-09-11,Virgin Active,100
CLI-003110,2025-07-09,Virgin Active,400
CLI-001308,2025-08-21,British Airways,600
CLI-002175,2026-03-20,Virgin Active,150
CLI-001683,2025-04-07,HBO Max,400
CLI-004885,2026-02-21,HBO Max,50
CLI-004754,2025-11-10,HBO Max,250
CLI-003970,2026-04-22,HBO Max,100
CLI-006045,2024-10-24,Woolworths,250
CLI-005982,2025-03-25,HBO Max,250
CLI-003951,2026-04-09,Woolworths,50
CLI-004621,2025-03-21,Virgin Active,100
CLI-003857,2024-12-27,HBO Max,600
CLI-005944,2025-07-10,Engen,150
CLI-003481,2025-05-24,Engen,250
CLI-002007,2025-02-05,British Airways,100
CLI-000852,2024-11-04,HBO Max,400
CLI-003465,2025-01-27,Engen,150
CLI-002759,2026-03-15,Virgin Active,50
CLI-000237,2025-08-06,Virgin Active,400
CLI-001369,2026-02-02,Engen,400
CLI-003679,2024-12-20,Engen,50
CLI-003194,2025-09-21,HBO Max,250
CLI-006412,2026-05-17,Woolworths,50
CLI-000933,2025-03-08,HBO Max,400
CLI-006032,2025-12-19,Takealot,100
CLI-006390,2025-05-25,British Airways,250
CLI-001534,2025-03-17,Engen,100
CLI-001984,2026-06-06,HBO Max,600
CLI-000303,2025-07-09,Engen,100
CLI-002274,2025-02-02,Takealot,50
CLI-006142,2026-03-16,British Airways,250
CLI-001710,2025-12-08,Engen,100
CLI-002454,2025-09-08,HBO Max,50
CLI-004061,2026-02-03,Engen,400
CLI-003637,2026-05-19,Takealot,150
CLI-004290,2024-09-26,HBO Max,100
CLI-001868,2025-06-24,Virgin Active,250
CLI-001528,2024-10-27,British Airways,100
CLI-003939,2026-01-23,British Airways,150
CLI-001557,2024-09-19,Takealot,600
CLI-003612,2025-06-21,Engen,150
CLI-005352,2026-06-10,Woolworths,100
CLI-000070,2025-05-30,British Airways,400
CLI-006212,2024-10-22,Virgin Active,50
CLI-003385,2024-12-26,Woolworths,250
CLI-002031,2026-06-11,Virgin Active,600
CLI-003678,2025-04-16,Woolworths,400
CLI-000619,2026-02-24,Virgin Active,150
CLI-005004,2025-01-11,Woolworths,100
CLI-003353,2025-10-29,Engen,150
CLI-003528,2024-09-23,Virgin Active,50
CLI-001782,2025-03-01,Woolworths,100
CLI-000395,2025-01-26,Virgin Active,50
CLI-006231,2025-07-18,Takealot,600
CLI-002551,2025-08-25,Virgin Active,150
CLI-004985,2025-06-04,Virgin Active,100
CLI-005590,2024-10-19,HBO Max,600
CLI-000058,2025-08-17,Woolworths,50
CLI-002480,2024-12-17,Takealot,400
CLI-005156,2024-09-10,Woolworths,100
CLI-005236,2026-02-09,British Airways,250
CLI-000781,2025-05-11,Takealot,50
CLI-006457,2025-11-09,HBO Max,600
CLI-004651,2025-11-30,Woolworths,400
CLI-004262,2026-02-01,British Airways,150
CLI-002401,2024-11-06,HBO Max,600
CLI-000017,2025-05-04,HBO Max,250
CLI-001607,2024-09-03,HBO Max,400
CLI-005820,2026-05-31,Virgin Active,100
CLI-003693,2024-07-06,Takealot,50
CLI-005116,2025-09-04,HBO Max,250
CLI-006196,2024-11-26,Takealot,50
CLI-001467,2025-06-26,Engen,600
CLI-000898,2025-06-15,Takealot,100
CLI-004015,2024-07-06,Woolworths,100
CLI-000577,2025-11-18,Engen,50
CLI-003216,2025-08-31,Takealot,600
CLI-006031,2024-10-05,Engen,100
CLI-002448,2025-02-06,Engen,250
CLI-003496,2024-07-24,HBO Max,150
CLI-004126,2026-03-26,British Airways,150
CLI-006119,2026-01-25,HBO Max,400
CLI-000752,2025-09-05,Takealot,600
CLI-003010,2024-07-24,Woolworths,250
CLI-001142,2025-06-26,British Airways,400
CLI-001601,2025-11-27,HBO Max,150
CLI-002009,2025-07-07,Takealot,150
CLI-000848,2026-03-05,Virgin Active,400
CLI-000431,2026-03-26,Engen,150
CLI-006210,2025-04-05,Virgin Active,600
CLI-001087,2025-12-20,Engen,50
CLI-003346,2026-01-14,Engen,250
CLI-002108,2025-08-15,Takealot,50
CLI-002924,2025-04-05,Takealot,100
CLI-004829,2026-02-02,Woolworths,150
CLI-001154,2025-08-21,Takealot,400
CLI-001610,2025-04-10,Virgin Active,400
CLI-001278,2026-05-19,Engen,400
CLI-005724,2025-07-11,Virgin Active,50
CLI-005531,2025-09-06,Takealot,250
CLI-004388,2025-07-19,Engen,100
CLI-001762,2025-06-17,Virgin Active,250
CLI-002032,2025-06-25,Virgin Active,400
CLI-005628,2026-03-04,HBO Max,400
CLI-003718,2024-10-09,Virgin Active,100
CLI-006237,2025-03-10,British Airways,100
CLI-003288,2024-08-06,Virgin Active,50
CLI-001519,2024-08-10,British Airways,250
CLI-003543,2025-08-11,Engen,100
CLI-001687,2025-12-31,Takealot,600
CLI-001538,2025-07-30,Virgin Active,150
CLI-004560,2026-05-04,Virgin Active,400
CLI-003127,2026-03-23,Takealot,100
CLI-001412,2025-11-02,Engen,400
CLI-006233,2026-04-10,HBO Max,400
CLI-004507,2025-06-25,Woolworths,600
CLI-002150,2024-10-08,Takealot,600
CLI-000201,2026-01-04,British Airways,400
CLI-004513,2024-09-09,HBO Max,400
CLI-004628,2025-07-14,HBO Max,250
CLI-001297,2025-02-20,Woolworths,150
CLI-006044,2024-09-04,Virgin Active,50
CLI-003691,2024-08-13,Woolworths,600
CLI-003791,2026-02-02,Woolworths,250
CLI-000661,2025-03-28,HBO Max,250
CLI-004362,2024-12-21,Woolworths,50
CLI-000203,2024-12-25,Engen,250
CLI-001365,2026-03-29,British Airways,50
CLI-004002,2025-01-28,Woolworths,50
CLI-004395,2025-01-23,HBO Max,250
CLI-003879,2024-12-13,Woolworths,250
CLI-003443,2024-12-05,Takealot,50
CLI-002554,2025-11-01,Virgin Active,600
CLI-004384,2025-07-05,Engen,150
CLI-001758,2025-08-26,Virgin Active,150
CLI-001416,2024-10-13,Takealot,50
CLI-004526,2024-08-04,Engen,100
