policy_id,market,product_type,channel,lapse_date,lapse_flag,reason
POL-000639,South Africa,Funeral,Tied Advisor,2026-05-01,1,Non-payment
POL-000645,South Africa,Life,Bancassurance,2024-02-02,1,Switched provider
POL-000649,Namibia,Life,Independent Broker,2026-06-20,1,Switched provider
POL-000651,Lesotho,Funeral,Tied Advisor,2026-06-20,1,Affordability
POL-000654,South Africa,Funeral,Direct Digital,2023-11-29,1,Dissatisfaction
POL-000662,Namibia,Life,Tied Advisor,2024-12-12,1,Affordability
POL-000670,South Africa,Health,Bancassurance,2024-08-28,1,Affordability
POL-000674,South Africa,Life,Independent Broker,2024-06-25,1,Affordability
POL-000683,South Africa,Life,Tied Advisor,2026-06-20,1,Non-payment
POL-000688,South Africa,Life,Bancassurance,2025-10-08,1,Affordability
POL-000689,Namibia,Health,Independent Broker,2026-06-20,1,Switched provider
POL-000702,South Africa,Investment,Bancassurance,2023-12-19,1,Non-payment
POL-000717,South Africa,Health,Tied Advisor,2026-06-20,1,Non-payment
POL-000721,South Africa,Life,Tied Advisor,2025-08-16,1,Dissatisfaction
POL-000726,South Africa,Investment,Tied Advisor,2024-01-15,1,Dissatisfaction
POL-000730,South Africa,Funeral,Tied Advisor,2023-05-15,1,Dissatisfaction
POL-000737,South Africa,Investment,Bancassurance,2025-01-25,1,Affordability
POL-000739,South Africa,Life,Direct Digital,2026-03-12,1,Affordability
POL-000741,South Africa,Funeral,Direct Digital,2026-06-20,1,Affordability
POL-000742,South Africa,Funeral,Tied Advisor,2024-11-17,1,Dissatisfaction
POL-000760,South Africa,Health,Tied Advisor,2026-06-20,1,Non-payment
POL-000774,Namibia,Investment,Bancassurance,2024-05-02,1,Affordability
POL-000779,South Africa,Life,Bancassurance,2023-06-04,1,Non-payment
POL-000782,South Africa,Funeral,Independent Broker,2025-05-23,1,Affordability
POL-000808,South Africa,Investment,Independent Broker,2025-06-29,1,Non-payment
POL-000810,South Africa,Funeral,Independent Broker,2025-05-10,1,Non-payment
POL-000812,South Africa,Funeral,Bancassurance,2022-12-05,1,Affordability
POL-000815,South Africa,Investment,Direct Digital,2025-07-24,1,Other
POL-000829,South Africa,Investment,Tied Advisor,2025-04-15,1,Non-payment
POL-000831,Botswana,Funeral,Tied Advisor,2026-06-20,1,Non-payment
POL-000832,Botswana,Life,Direct Digital,2025-03-25,1,Dissatisfaction
POL-000833,South Africa,Funeral,Bancassurance,2026-06-20,1,Non-payment
POL-000834,South Africa,Funeral,Independent Broker,2024-12-08,1,Affordability
POL-000846,South Africa,Funeral,Direct Digital,2026-06-20,1,Non-payment
POL-000853,Lesotho,Life,Tied Advisor,2024-01-29,1,Switched provider
POL-000862,South Africa,Funeral,Direct Digital,2023-01-11,1,Switched provider
POL-000871,South Africa,Life,Tied Advisor,2025-01-01,1,Affordability
POL-000875,Lesotho,Funeral,Independent Broker,2026-06-20,1,Affordability
POL-000880,Botswana,Life,Bancassurance,2026-06-20,1,Affordability
POL-000890,Namibia,Funeral,Bancassurance,2025-09-06,1,Switched provider
POL-000894,South Africa,Health,Tied Advisor,2024-04-18,1,Other
POL-000895,South Africa,Health,Tied Advisor,2026-06-20,1,Non-payment
POL-000897,South Africa,Life,Independent Broker,2025-01-29,1,Dissatisfaction
POL-000910,Botswana,Life,Direct Digital,2026-06-20,1,Affordability
POL-000911,South Africa,Funeral,Bancassurance,2024-06-09,1,Dissatisfaction
POL-000925,Namibia,Funeral,Direct Digital,2024-12-25,1,Affordability
POL-000936,South Africa,Health,Tied Advisor,2025-11-16,1,Affordability
POL-000941,South Africa,Funeral,Tied Advisor,2025-09-18,1,Non-payment
POL-000944,Botswana,Funeral,Tied Advisor,2026-06-20,1,Switched provider
POL-000946,South Africa,Funeral,Tied Advisor,2025-05-05,1,Affordability
POL-000949,South Africa,Life,Independent Broker,2026-06-20,1,Affordability
POL-000950,South Africa,Health,Independent Broker,2023-02-07,1,Non-payment
POL-000955,Namibia,Health,Tied Advisor,2023-06-22,1,Affordability
POL-000956,South Africa,Funeral,Tied Advisor,2026-06-20,1,Affordability
POL-000959,South Africa,Life,Tied Advisor,2026-03-13,1,Non-payment
POL-000965,South Africa,Health,Tied Advisor,2026-06-20,1,Affordability
POL-000966,Botswana,Life,Bancassurance,2024-09-04,1,Affordability
POL-000967,Botswana,Funeral,Independent Broker,2022-07-27,1,Switched provider
POL-000970,South Africa,Investment,Independent Broker,2023-11-15,1,Non-payment
POL-000971,Lesotho,Funeral,Tied Advisor,2026-06-20,1,Dissatisfaction
POL-000973,Namibia,Funeral,Direct Digital,2023-05-06,1,Affordability
POL-000974,South Africa,Funeral,Direct Digital,2022-09-28,1,Dissatisfaction
POL-000975,Botswana,Funeral,Tied Advisor,2025-10-02,1,Affordability
POL-000988,South Africa,Health,Bancassurance,2024-08-19,1,Switched provider
POL-000999,South Africa,Life,Independent Broker,2025-09-21,1,Dissatisfaction
POL-001003,South Africa,Life,Tied Advisor,2023-04-11,1,Dissatisfaction
POL-001014,South Africa,Life,Tied Advisor,2026-06-20,1,Affordability
POL-001015,South Africa,Life,Tied Advisor,2023-05-27,1,Non-payment
POL-001018,South Africa,Funeral,Tied Advisor,2022-12-30,1,Affordability
POL-001023,South Africa,Funeral,Tied Advisor,2024-08-09,1,Non-payment
POL-001025,South Africa,Investment,Direct Digital,2025-11-16,1,Affordability
POL-001030,Botswana,Funeral,Independent Broker,2023-09-19,1,Affordability
POL-001037,South Africa,Funeral,Tied Advisor,2024-05-02,1,Affordability
POL-001043,Lesotho,Life,Bancassurance,2025-12-15,1,Dissatisfaction
POL-001054,South Africa,Health,Independent Broker,2023-07-01,1,Affordability
POL-001055,Lesotho,Life,Independent Broker,2025-06-27,1,Switched provider
POL-001059,Lesotho,Funeral,Tied Advisor,2024-04-15,1,Non-payment
POL-001063,South Africa,Investment,Tied Advisor,2024-08-23,1,Non-payment
POL-001067,Lesotho,Life,Tied Advisor,2026-06-20,1,Non-payment
POL-001075,South Africa,Life,Tied Advisor,2026-01-13,1,Non-payment
POL-001077,Namibia,Life,Independent Broker,2025-04-26,1,Affordability
POL-001080,Botswana,Funeral,Independent Broker,2026-06-20,1,Non-payment
POL-001085,Botswana,Health,Tied Advisor,2024-05-24,1,Affordability
POL-001093,Lesotho,Health,Tied Advisor,2023-07-19,1,Non-payment
POL-001097,Namibia,Funeral,Independent Broker,2026-02-20,1,Non-payment
POL-001109,South Africa,Health,Bancassurance,2026-04-08,1,Affordability
POL-001115,Lesotho,Health,Direct Digital,2024-08-01,1,Non-payment
POL-001117,South Africa,Funeral,Tied Advisor,2024-02-06,1,Dissatisfaction
POL-001125,South Africa,Investment,Independent Broker,2025-03-16,1,Affordability
POL-001127,Botswana,Health,Tied Advisor,2024-12-14,1,Non-payment
POL-001136,Lesotho,Life,Bancassurance,2026-04-19,1,Switched provider
POL-001138,Botswana,Life,Bancassurance,2024-06-01,1,Switched provider
POL-001141,South Africa,Life,Tied Advisor,2023-10-11,1,Affordability
POL-001144,South Africa,Health,Tied Advisor,2026-03-19,1,Affordability
POL-001151,Namibia,Life,Tied Advisor,2022-11-05,1,Affordability
POL-001157,Namibia,Investment,Bancassurance,2024-09-10,1,Non-payment
POL-001163,South Africa,Health,Bancassurance,2026-06-20,1,Switched provider
POL-001174,South Africa,Life,Direct Digital,2024-05-23,1,Affordability
POL-001176,Namibia,Funeral,Bancassurance,2025-11-26,1,Dissatisfaction
POL-001178,Lesotho,Health,Tied Advisor,2025-08-08,1,Dissatisfaction
POL-001186,South Africa,Investment,Tied Advisor,2026-06-20,1,Affordability
POL-001189,Botswana,Health,Direct Digital,2025-12-18,1,Affordability
POL-001192,South Africa,Funeral,Bancassurance,2023-09-21,1,Affordability
POL-001194,Namibia,Funeral,Tied Advisor,2025-03-27,1,Non-payment
POL-001201,Botswana,Investment,Tied Advisor,2026-06-20,1,Affordability
POL-001206,South Africa,Funeral,Bancassurance,2026-06-20,1,Non-payment
POL-001209,South Africa,Life,Bancassurance,2023-12-12,1,Other
POL-001213,Namibia,Investment,Independent Broker,2022-10-12,1,Affordability
POL-001214,Botswana,Funeral,Direct Digital,2023-05-13,1,Affordability
POL-001221,Botswana,Health,Independent Broker,2026-06-20,1,Dissatisfaction
POL-001225,Botswana,Funeral,Direct Digital,2025-11-20,1,Other
POL-001227,Lesotho,Life,Independent Broker,2025-10-14,1,Dissatisfaction
POL-001228,South Africa,Funeral,Tied Advisor,2023-10-05,1,Dissatisfaction
POL-001234,Namibia,Health,Independent Broker,2026-03-04,1,Affordability
POL-001236,Namibia,Funeral,Bancassurance,2026-06-20,1,Affordability
POL-001247,South Africa,Funeral,Tied Advisor,2026-02-12,1,Other
POL-001252,South Africa,Funeral,Tied Advisor,2026-06-20,1,Other
POL-001259,South Africa,Funeral,Tied Advisor,2026-06-20,1,Non-payment
POL-001261,South Africa,Funeral,Independent Broker,2022-06-26,1,Switched provider
POL-001262,Namibia,Life,Tied Advisor,2023-08-09,1,Affordability
POL-001273,South Africa,Life,Tied Advisor,2022-03-13,1,Affordability
POL-001275,South Africa,Health,Tied Advisor,2024-02-14,1,Dissatisfaction
POL-001291,Botswana,Health,Bancassurance,2022-02-03,1,Non-payment
POL-001292,Botswana,Health,Tied Advisor,2023-08-09,1,Affordability
POL-001293,South Africa,Health,Independent Broker,2026-01-06,1,Non-payment
POL-001304,Lesotho,Funeral,Independent Broker,2026-03-02,1,Non-payment
POL-001323,Botswana,Funeral,Tied Advisor,2025-09-02,1,Non-payment
POL-001338,South Africa,Funeral,Bancassurance,2026-05-19,1,Affordability
POL-001340,South Africa,Funeral,Tied Advisor,2024-12-08,1,Other
POL-001362,South Africa,Life,Tied Advisor,2024-09-17,1,Other
POL-001374,South Africa,Life,Tied Advisor,2026-06-20,1,Switched provider
POL-001380,South Africa,Health,Direct Digital,2024-11-15,1,Dissatisfaction
POL-001381,South Africa,Funeral,Tied Advisor,2026-06-20,1,Switched provider
POL-001393,South Africa,Funeral,Independent Broker,2026-06-20,1,Switched provider
POL-001408,Lesotho,Funeral,Bancassurance,2022-12-27,1,Non-payment
POL-001409,South Africa,Life,Tied Advisor,2026-06-20,1,Non-payment
POL-001412,South Africa,Funeral,Direct Digital,2023-02-12,1,Non-payment
POL-001423,Botswana,Funeral,Independent Broker,2025-02-13,1,Affordability
POL-001424,South Africa,Funeral,Independent Broker,2026-06-20,1,Affordability
POL-001428,Botswana,Health,Direct Digital,2023-06-13,1,Other
POL-001437,South Africa,Life,Bancassurance,2026-06-20,1,Non-payment
POL-001457,South Africa,Funeral,Independent Broker,2024-08-15,1,Affordability
POL-001465,Botswana,Life,Independent Broker,2026-06-20,1,Other
POL-001479,South Africa,Health,Tied Advisor,2023-10-03,1,Switched provider
POL-001480,Lesotho,Life,Direct Digital,2021-11-24,1,Dissatisfaction
POL-001503,Lesotho,Funeral,Tied Advisor,2026-01-30,1,Other
POL-001507,Lesotho,Funeral,Tied Advisor,2024-08-17,1,Switched provider
POL-001511,Botswana,Funeral,Direct Digital,2026-06-20,1,Affordability
POL-001512,Botswana,Funeral,Tied Advisor,2023-05-08,1,Dissatisfaction
POL-001520,Namibia,Funeral,Tied Advisor,2026-06-20,1,Affordability
POL-001542,South Africa,Health,Tied Advisor,2026-06-20,1,Dissatisfaction
POL-001548,South Africa,Funeral,Tied Advisor,2026-06-20,1,Affordability
POL-001553,Botswana,Life,Independent Broker,2024-02-19,1,Non-payment
POL-001554,South Africa,Life,Tied Advisor,2024-08-24,1,Switched provider
POL-001555,South Africa,Health,Direct Digital,2024-06-14,1,Affordability
POL-001576,South Africa,Life,Independent Broker,2026-05-20,1,Other
POL-001586,Botswana,Health,Independent Broker,2025-02-05,1,Affordability
POL-001588,South Africa,Health,Bancassurance,2024-03-13,1,Affordability
POL-001608,South Africa,Funeral,Tied Advisor,2026-06-20,1,Affordability
POL-001617,South Africa,Funeral,Tied Advisor,2025-08-11,1,Switched provider
POL-001623,Botswana,Funeral,Tied Advisor,2023-04-12,1,Non-payment
POL-001627,South Africa,Health,Tied Advisor,2024-05-25,1,Non-payment
POL-001628,South Africa,Funeral,Tied Advisor,2026-05-07,1,Switched provider
POL-001638,South Africa,Funeral,Bancassurance,2026-06-20,1,Non-payment
POL-001646,Lesotho,Funeral,Bancassurance,2026-06-20,1,Other
POL-001647,Botswana,Investment,Tied Advisor,2025-03-17,1,Affordability
POL-001661,Botswana,Funeral,Tied Advisor,2025-08-23,1,Affordability
POL-001677,Botswana,Funeral,Tied Advisor,2026-06-20,1,Dissatisfaction
POL-001695,South Africa,Life,Independent Broker,2023-03-28,1,Switched provider
POL-001701,South Africa,Funeral,Direct Digital,2026-06-20,1,Dissatisfaction
POL-001707,South Africa,Life,Independent Broker,2026-01-10,1,Affordability
POL-001709,South Africa,Funeral,Tied Advisor,2026-06-20,1,Switched provider
POL-001710,Botswana,Health,Tied Advisor,2022-12-15,1,Affordability
POL-001712,Botswana,Funeral,Direct Digital,2026-06-20,1,Non-payment
POL-001721,South Africa,Funeral,Tied Advisor,2022-11-29,1,Dissatisfaction
POL-001750,South Africa,Funeral,Tied Advisor,2023-06-24,1,Non-payment
POL-001751,Botswana,Health,Independent Broker,2026-01-25,1,Switched provider
POL-001755,Namibia,Funeral,Independent Broker,2025-05-28,1,Non-payment
POL-001765,South Africa,Funeral,Direct Digital,2023-10-02,1,Switched provider
POL-001779,Botswana,Health,Direct Digital,2026-06-20,1,Affordability
POL-001787,South Africa,Investment,Tied Advisor,2023-11-17,1,Non-payment
POL-001788,Namibia,Funeral,Independent Broker,2025-08-30,1,Dissatisfaction
POL-001802,South Africa,Funeral,Tied Advisor,2024-04-21,1,Non-payment
POL-001811,South Africa,Life,Bancassurance,2023-07-01,1,Non-payment
POL-001819,South Africa,Life,Bancassurance,2023-06-12,1,Switched provider
POL-001823,Namibia,Funeral,Bancassurance,2025-05-25,1,Affordability
POL-001837,South Africa,Life,Tied Advisor,2024-10-11,1,Affordability
POL-001848,Botswana,Life,Direct Digital,2026-06-20,1,Non-payment
POL-001857,South Africa,Funeral,Direct Digital,2023-11-22,1,Switched provider
POL-001866,South Africa,Health,Tied Advisor,2026-04-27,1,Other
POL-001877,South Africa,Investment,Tied Advisor,2025-07-02,1,Switched provider
POL-001883,Lesotho,Health,Independent Broker,2025-12-14,1,Dissatisfaction
POL-001895,Lesotho,Funeral,Independent Broker,2026-06-20,1,Affordability
POL-001905,South Africa,Life,Tied Advisor,2026-06-13,1,Non-payment
POL-001913,South Africa,Health,Bancassurance,2024-05-07,1,Dissatisfaction
POL-001917,South Africa,Life,Direct Digital,2026-04-03,1,Non-payment
POL-001925,South Africa,Life,Tied Advisor,2024-08-20,1,Switched provider
POL-001933,South Africa,Investment,Tied Advisor,2026-06-09,1,Other
POL-001941,South Africa,Funeral,Tied Advisor,2024-01-11,1,Other
POL-001942,Namibia,Investment,Tied Advisor,2026-04-21,1,Affordability
POL-001943,Botswana,Health,Tied Advisor,2026-06-20,1,Affordability
POL-001947,Botswana,Life,Bancassurance,2023-05-25,1,Affordability
POL-001951,South Africa,Funeral,Direct Digital,2026-06-20,1,Affordability
POL-001971,South Africa,Funeral,Tied Advisor,2024-01-10,1,Dissatisfaction
POL-001977,Botswana,Funeral,Independent Broker,2025-08-26,1,Non-payment
POL-001978,South Africa,Health,Bancassurance,2023-08-12,1,Non-payment
POL-001979,South Africa,Funeral,Bancassurance,2024-02-02,1,Dissatisfaction
POL-001993,Botswana,Health,Independent Broker,2024-11-19,1,Affordability
POL-002007,Namibia,Investment,Bancassurance,2026-04-05,1,Other
POL-002009,Lesotho,Funeral,Bancassurance,2026-06-20,1,Affordability
POL-002012,South Africa,Life,Bancassurance,2026-06-20,1,Non-payment
POL-002014,Botswana,Funeral,Bancassurance,2026-06-20,1,Switched provider
POL-002021,Namibia,Funeral,Tied Advisor,2026-06-20,1,Dissatisfaction
POL-002022,South Africa,Life,Tied Advisor,2026-04-26,1,Affordability
POL-002024,South Africa,Funeral,Direct Digital,2026-06-20,1,Affordability
POL-002029,South Africa,Life,Tied Advisor,2026-01-20,1,Dissatisfaction
POL-002031,South Africa,Investment,Independent Broker,2026-06-20,1,Dissatisfaction
POL-002049,Botswana,Health,Bancassurance,2026-02-25,1,Switched provider
POL-002051,Namibia,Life,Tied Advisor,2022-05-30,1,Affordability
POL-002061,South Africa,Funeral,Independent Broker,2026-06-20,1,Switched provider
POL-002063,South Africa,Life,Independent Broker,2023-05-15,1,Affordability
POL-002071,Botswana,Funeral,Independent Broker,2025-12-28,1,Non-payment
POL-002072,South Africa,Investment,Tied Advisor,2026-06-20,1,Dissatisfaction
POL-002082,Lesotho,Funeral,Tied Advisor,2025-06-29,1,Switched provider
POL-002083,Botswana,Life,Bancassurance,2024-02-01,1,Non-payment
POL-002086,South Africa,Life,Direct Digital,2023-11-22,1,Affordability
POL-002094,Botswana,Life,Direct Digital,2023-04-02,1,Dissatisfaction
POL-002099,South Africa,Life,Independent Broker,2026-06-20,1,Non-payment
POL-002100,South Africa,Life,Independent Broker,2026-06-20,1,Other
POL-002103,South Africa,Life,Independent Broker,2026-06-20,1,Non-payment
POL-002105,Botswana,Life,Tied Advisor,2023-05-17,1,Non-payment
POL-002108,South Africa,Life,Tied Advisor,2023-06-29,1,Switched provider
POL-002112,South Africa,Funeral,Bancassurance,2026-06-20,1,Affordability
